SourceName,CECName,match_rule,source_lat,source_lon,cec_lat,cec_lon,dist_km,name_agrees,already_in_dict
OAKLAND I,Bancroft - PG&E,spatial,37.74773573727129,-122.17432143246587,37.73986467,-122.15539406,1.88,False,True
OAKLAND I,Edes - (PG&E),spatial,37.74773573727129,-122.17432143246587,37.73868459,-122.19378589,1.985,False,True
OCEAN,Ocean Ave,spatial,37.72329584444796,-122.45488992150584,37.72332171,-122.45471603,0.016,False,True
OCEAN,Plymouth,spatial,37.72329584444796,-122.45488992150584,37.71278183,-122.45577036,1.172,False,True
OCEAN,San Fran L,spatial,37.72329584444796,-122.45488992150584,37.73041113,-122.47098385,1.622,False,True
OCEAN,Randolph - PG&E,spatial,37.72329584444796,-122.45488992150584,37.7144506,-122.4696151,1.626,False,True
OCEAN,Acton - PG&E,spatial,37.72329584444796,-122.45488992150584,37.70856832,-122.45062577,1.68,False,True
PANOCHE,Panoche - PG&E,spatial,36.65147106321651,-120.58017074552066,36.65353128,-120.58174326,0.269,True,True
PARADISE,Paradise - (PG&E),spatial,39.76034094880524,-121.6190062372056,39.76065779,-121.61871709,0.043,True,True
PARKWAY,Parkway - (PG&E),spatial,38.13810009221848,-122.20945720439109,38.1381842,-122.20909725,0.033,True,True
PERRY,Perry - (PG&E),spatial,35.57121004522495,-121.0559169553722,35.57091333,-121.05535835,0.06,True,True
PLUMAS,Plumas - (PG&E),spatial,39.0262294520019,-121.54346448414113,39.02624095,-121.54303879,0.037,True,True
RALSTON,Ralston Tap,spatial,37.511320391790726,-122.33975670219075,37.5115728,-122.33977692,0.028,False,True
RALSTON,Ralston - (PG&E),spatial,37.511320391790726,-122.33975670219075,37.51130896,-122.34011182,0.031,True,True
RANDOLPH,Randolph - PG&E,spatial,37.7145484958375,-122.46933508414892,37.7144506,-122.4696151,0.027,True,True
RANDOLPH,Plymouth,spatial,37.7145484958375,-122.46933508414892,37.71278183,-122.45577036,1.209,False,True
RANDOLPH,Ocean Ave,spatial,37.7145484958375,-122.46933508414892,37.72332171,-122.45471603,1.614,False,True
RANDOLPH,San Fran L,spatial,37.7145484958375,-122.46933508414892,37.73041113,-122.47098385,1.77,False,True
RANDOLPH,Acton - PG&E,spatial,37.7145484958375,-122.46933508414892,37.70856832,-122.45062577,1.775,False,True
RED BLUFF,Red Bluff - (PG&E),spatial,40.1824640348198,-122.244707344526,40.18238147,-122.24460425,0.013,True,True
RED BLUFF,Unknown - 3783,spatial,40.1824640348198,-122.244707344526,40.18640403,-122.24698303,0.479,False,True
RINCON,Rincon - (PG&E),spatial,38.49018866904616,-122.66602642884762,38.4900627,-122.66605899,0.014,True,True
RINCON,Rincon Tap,spatial,38.49018866904616,-122.66602642884762,38.49698859,-122.66763532,0.769,False,True
RIO BRAVO,Rio Bravo - (PG&E),spatial,35.44206083008288,-119.26062694774596,35.44202467,-119.26070292,0.008,True,True
RUSSELL,Stuart - (PG&E),spatial,37.85452448999599,-122.27989615948655,37.85803969,-122.26867425,1.06,False,True
RUSSELL,Berkeley F,spatial,37.85452448999599,-122.27989615948655,37.8724246,-122.27815591,1.996,False,True
SALINAS,Salinas - (PG&E),spatial,36.68286418701568,-121.651172576963,36.68227081,-121.65137249,0.068,True,True
SALINAS,Unknown - 4396,spatial,36.68286418701568,-121.651172576963,36.6867701,-121.67199802,1.907,False,True
SAN MATEO,San Mateo - (PG&E),spatial,37.58173090782904,-122.31998566182828,37.58306967,-122.31865074,0.19,True,True
SAN MATEO,Beresford,spatial,37.58173090782904,-122.31998566182828,37.56488772,-122.31929883,1.874,False,True
SAN MIGUEL,San Miguel - (PG&E),spatial,35.75222542522153,-120.68382054645429,35.7523312,-120.68395411,0.017,True,True
SF A (POTRERO),Trans Bay Cable Facility,spatial,37.75597723579284,-122.38631343999468,37.75482931,-122.38600672,0.13,False,True
SF A (POTRERO),Potrero - (PG&E GBA),spatial,37.75597723579284,-122.38631343999468,37.75744844,-122.38650408,0.164,False,True
SF A (POTRERO),Bayshore ,spatial,37.75597723579284,-122.38631343999468,37.74602487,-122.4033589,1.863,False,True
SF E,San Fran E,spatial,37.75998246201988,-122.42031135616251,37.7599734,-122.42030586,0.001,False,True
SF E,Unknown - 4115,spatial,37.75998246201988,-122.42031135616251,37.76443318,-122.40733951,1.243,False,True
SF E,Eighteenth St,spatial,37.75998246201988,-122.42031135616251,37.76084551,-122.4389845,1.644,False,True
SF E,Castro,spatial,37.75998246201988,-122.42031135616251,37.74938345,-122.43417474,1.695,False,True
SF M,San Fran M,spatial,37.733508415379255,-122.43054770849852,37.73345823,-122.43050848,0.007,False,True
SF M,Silver Ave,spatial,37.733508415379255,-122.43054770849852,37.7293246,-122.41433351,1.5,False,True
SF M,Castro,spatial,37.733508415379255,-122.43054770849852,37.74938345,-122.43417474,1.794,False,True
SF N,San Fran N,spatial,37.76138387988553,-122.4664254717227,37.76133081,-122.46646012,0.007,False,True
SF N,Twenty-First Ave,spatial,37.76138387988553,-122.4664254717227,37.75436568,-122.47823754,1.299,False,True
SF X (MISSION),Mission - (PG&E),spatial,37.77752693688508,-122.41435930467767,37.77734803,-122.41380967,0.052,False,True
SF X (MISSION),Larkin,spatial,37.77752693688508,-122.41435930467767,37.78365462,-122.41699615,0.72,False,True
SF X (MISSION),Moscone - PG&E,spatial,37.77752693688508,-122.41435930467767,37.78384824,-122.40123326,1.351,False,True
SF X (MISSION),Unknown - 4115,spatial,37.77752693688508,-122.41435930467767,37.76443318,-122.40733951,1.581,False,True
SILVER,Silver Ave,spatial,37.7292092119054,-122.41440058169415,37.7293246,-122.41433351,0.014,False,True
SILVER,San Fran M,spatial,37.7292092119054,-122.41440058169415,37.73345823,-122.43050848,1.493,False,True
SILVER,Yosemite,spatial,37.7292092119054,-122.41440058169415,37.7294929,-122.39684471,1.544,False,True
SOLEDAD,Soledad - (PGE GBA),spatial,36.42977626821583,-121.3324241495369,36.42963391,-121.33248337,0.017,True,True
SOLEDAD,Unknown - 3862,spatial,36.42977626821583,-121.3324241495369,36.4159261,-121.3191751,1.943,False,True
SOLEDAD,Unknown - 3365,spatial,36.42977626821583,-121.3324241495369,36.41704527,-121.31668246,1.997,False,True
SPAULDING,Spaulding #2 Ph,spatial,39.32583317195124,-120.643761373542,39.32443133,-120.64486136,0.182,False,True
SPAULDING,Unknown - 3303,spatial,39.32583317195124,-120.643761373542,39.3155876,-120.65089473,1.294,False,True
SPAULDING,Spaulding #3 Ph,spatial,39.32583317195124,-120.643761373542,39.33742812,-120.63562097,1.467,False,True
STILLWATER,Stillwater - (PG&E),spatial,40.67760281495655,-122.34983936540058,40.67775832,-122.3497616,0.018,True,True
STUART,Stuart - (PG&E),spatial,37.857984085569285,-122.26844071173984,37.85803969,-122.26867425,0.021,True,True
STUART,Berkeley F,spatial,37.857984085569285,-122.26844071173984,37.8724246,-122.27815591,1.818,False,True
SULLIVAN,Sullivan - PG&E,spatial,37.68724547633245,-122.4717637101012,37.68722026,-122.47196704,0.018,True,True
SULLIVAN,Westlake,spatial,37.68724547633245,-122.4717637101012,37.69830643,-122.48008891,1.432,False,True
SULLIVAN,Daly City,spatial,37.68724547633245,-122.4717637101012,37.69167461,-122.4559247,1.478,False,True
