utility,substation_name,latitude,longitude,voltage_kv,substation_type,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,existing_der,net_min_daytime_load_mw,is_pt,in_clean,cats_bus_i,cats_kv,cats_lat,cats_lon,cats_dist_km,cats_matched
pge,TAMARACK,39.31400206641118,-120.49620864570748,12.0,,,Sierra,15229.0,0.025,0.045,0.07,,,,1.0,,,,,,,,,,,Yes,,,False,True,756,66,39.31387986,-120.4969207,0.0627470881085138,True
pge,WALNUT CREEK,37.904820730988014,-122.06085617174196,4.16,,,Diablo,1220.0,0.003,0.003,0.006,,,,2.0,,,,,,,,,,,No,,,False,True,2145,66,37.90480205,-122.0609609,0.009420354587382928,True
pge,ESQUON,39.60772314757492,-121.76822648360046,12.0,,,North Valley,10217.0,2.514,2.55,5.064,,,,2.0,,,,,,,,,,,No,,,False,True,46,115,39.60773551,-121.7683336,0.009278795220243469,True
pge,UPPER LAKE,39.14608725571375,-122.91705320074546,12.0,,,Humboldt,4287.0,1.778,2.021,3.799,,,,1.0,,,,,,,,,,,No,,,False,True,332,66,39.14574049,-122.9166584,0.051438338807039435,True
pge,ERTA,36.93065412756231,-121.76425096468428,4.16,,,Central Coast,8351.0,0.619,0.642,1.261,,,,1.0,,,,,,,,,,,No,,,False,True,1270,66,36.93038173,-121.7642402,0.030304335970046933,True
pge,LIVE OAK,39.27647099774993,-121.66045789355064,12.0,,,Sacramento,15377.0,7.126,18.155,25.281,,,,2.0,,,,,,,,,,,No,,,False,True,1391,66,39.27639001,-121.6602999,0.016310828702636088,True
pge,CAPAY,39.77653431381928,-122.10355513930796,12.0,,,North Valley,10211.0,2.273,2.401,4.674,,,,1.0,,,,,,,,,,,No,,,False,True,152,66,39.77596358,-122.1038109,0.06712110451283711,True
pge,NORTH DUBLIN,37.74483921993783,-121.85769752164674,21.0,,,Mission,1405.0,10.976,12.004,22.98,,,,1.0,,,,,,,,,,,No,,,False,True,1539,66,37.74483101,-121.857924,0.019934432410915748,True
pge,ORICK,41.29430712515043,-124.05658700221892,12.0,,,Humboldt,19226.0,0.081,0.081,0.162,,,,1.0,,,,,,,,,,,No,,,False,True,2239,66,41.29428709,-124.0568714,0.023863961979952154,True
pge,REDBUD,39.027411633952696,-122.66266510947312,12.0,,,Humboldt,4319.0,3.356,5.495,8.851,,,,2.0,,,,,,,,,,,No,,,False,True,331,115,39.02753504,-122.6623833,0.027944218192425884,True
pge,CLOVERDALE,38.79708983960812,-123.01056995209038,12.0,,,Sonoma,4282.0,2.935,4.181,7.116,,,,1.0,,,,,,,,,,,No,,,False,True,1338,66,38.70981339,-122.9079796,13.16518592721488,False
pge,DRUM,39.25637292962176,-120.76688167651604,12.0,,,Sierra,15232.0,0.085,0.085,0.17,,,,1.0,,,,,,,,,,,No,,,False,True,8577,66,39.25664803,-120.7667715,0.032026908774855686,True
pge,MARTELL,38.36883661631688,-120.79647096943472,12.0,,,Stockton,16301.0,10.056,10.856,20.912,,,,1.0,,,,,,,,,,,No,,,False,True,29,66,38.36910799,-120.796754,0.03897936955472356,True
pge,CRESSEY,37.42859913669553,-120.6384473846346,21.0,,,Yosemite,25470.0,13.025,25.181,38.206,,,,1.0,,,,,,,,,,,No,,,False,True,608,115,37.42846952,-120.6385277,0.0160630681712973,True
pge,HENRIETTA,36.24184869376041,-119.90482761916222,12.0,,,Fresno,25268.0,5.047,5.314,10.361,,,,2.0,,,,,,,,,,,No,,,False,True,7708,66,36.24192858,-119.9033148,0.13596291792022736,True
pge,WATSONVILLE,36.90322145782284,-121.75635320535145,4.16,,,Central Coast,8333.0,0.283,0.46,0.743,,,,2.0,,,,,,,,,,,No,,,False,True,1909,66,36.90275189,-121.7559092,0.06545922708276242,True
pge,GUERNSEY,36.22643077790519,-119.65578907910825,12.0,,,Fresno,25266.0,12.261,15.921,28.182,,,,2.0,,,,,,,,,,,No,,,False,True,319,66,36.22631337,-119.6552247,0.052280862590973885,True
pge,MAPLE,37.79719717055544,-122.2057538023828,4.16,,,East Bay,1352.0,0.424,0.492,0.916,,,,1.0,,,,,,,,,,,No,,,False,True,1611,115,37.80528987,-122.2312677,2.4155188946651225,False
pge,EDES,37.738958386689234,-122.19406786917396,12.0,,,East Bay,1368.0,0.697,2.244,2.941,,,,2.0,,,,,,,,,,,No,,,False,True,8,115,37.73868954,-122.1937991,0.0381082309637869,True
pge,MESA,35.0078834935596,-120.45376497641756,12.0,,,Los Padres,18282.0,9.419,22.338,31.757,,,,1.0,,,,,,,,,,,No,,,False,True,8618,115,35.00881883,-120.4532025,0.1159366372173769,True
pge,WESTLEY,37.57919043551431,-121.20566160950838,12.0,,,Yosemite,16267.0,1.354,3.169,4.523,,,,2.0,,,,,,,,,,,No,,,False,True,1965,66,37.57957789,-121.2059602,0.05048267166389206,True
pge,ANTELOPE,35.657909182784095,-119.99680487400924,12.0,,,Kern,25202.0,3.0,3.0,6.0,,,,1.0,,,,,,,,,,,No,,,False,True,224,66,35.6579012,-119.9964345,0.033474031611603734,True
pge,SF A (POTRERO),37.75597723579284,-122.38631343999468,12.0,,,San Francisco,2203.0,0.692,1.352,2.044,,,,3.0,,,,,,,,,,,No,,,False,True,1503,230,37.75610406,-122.3864726,0.019865977726164833,True
pge,GUALALA,38.78608834746834,-123.52264215716971,12.0,,,Humboldt,4284.0,1.11,1.226,2.336,,,,2.0,,,,,,,,,,,No,,,False,True,594,66,38.78617978,-123.5220977,0.048273732430133394,True
pge,PANAMA,35.29554130507497,-119.02181642397912,21.0,,,Kern,25342.0,29.778,31.151,60.929,,,,1.0,,,,,,,,,,,No,,,False,True,259,66,35.29555607,-119.0216521,0.015003379295880479,True
pge,JESSUP,40.46170457696071,-122.32775472405966,12.0,,,North Valley,10344.0,13.828,23.673,37.501,,,,1.0,,,,,,,,,,,No,,,False,True,1278,66,40.44973412,-122.3050459,2.3373868442143304,False
pge,KONOCTI,38.932601383485405,-122.74098053352844,12.0,,,Humboldt,4331.0,9.29,22.626,31.916,,,,3.0,,,,,,,,,,,No,,,False,True,329,66,38.93233036,-122.7410063,0.030218736343420503,True
pge,RED BLUFF,40.1824640348198,-122.244707344526,12.0,,,North Valley,10354.0,4.065,19.325,23.39,,,,3.0,,,,,,,,,,,No,,,False,True,1401,66,40.18238662,-122.2446177,0.011493298119161532,True
pge,ALPINE,38.46682532572175,-120.0381940068952,12.0,,,Stockton,16356.0,0.055,0.055,0.11,,,,1.0,,,,,,,,,,,Yes,,,False,True,32,115,38.4984199,-120.2184202,16.07600225756715,False
pge,BORONDA,36.690641286171,-121.67942490459326,12.0,,,Central Coast,18246.0,0.282,1.182,1.464,,,,1.0,,,,,,,,,,,No,,,False,True,8337,66,36.6903365,-121.6792844,0.036132104035737266,True
pge,EL NIDO,37.12088972778191,-120.47290782246549,12.0,,,Yosemite,25245.0,5.683,15.743,21.426,,,,2.0,,,,,,,,,,,No,,,False,True,8435,66,37.12067402,-120.4726946,0.030540236347135614,True
pge,TIDEWATER,38.02052295487403,-122.06207554043746,21.0,,,Diablo,1465.0,4.887,5.127,10.014,,,,2.0,,,,,,,,,,,No,,,False,True,8575,230,38.01838518,-122.0612753,0.24783062649054896,True
pge,PRUNEDALE,36.7848917695957,-121.6710561826014,12.0,,,Central Coast,18296.0,2.96,3.109,6.069,,,,2.0,,,,,,,,,,,No,,,False,True,652,115,36.7853813,-121.6711331,0.054862594038024924,True
pge,DAYTON ROAD,39.72016631724905,-121.83969083882324,4.16,,,North Valley,10294.0,0.132,0.309,0.441,,,,1.0,,,,,,,,,,,No,,,False,True,1579,115,39.71972703,-121.8393363,0.057493293311189866,True
pge,ALHAMBRA,37.99408242188111,-122.13034397164172,12.0,,,Diablo,1410.0,11.075,11.669,22.744,,,,2.0,,,,,,,,,,,No,,,False,True,69,115,37.99392322,-122.1301156,0.026718243290614972,True
pge,BRIDGEVILLE,40.47973690196123,-123.78042714948089,12.0,,,Humboldt,19246.0,1.559,1.559,3.118,,,,1.0,,,,,,,,,,,No,,,False,True,164,115,40.47964597,-123.7803098,0.01416852649163437,True
pge,POINT PINOLE,37.995974173346816,-122.34791448274218,12.0,,,East Bay,1426.0,4.519,5.934,10.453,,,,1.0,,,,,,,,,,,No,,,False,True,93,115,37.99592158,-122.3481031,0.017532199648727903,True
pge,GATES,36.13875751303389,-120.1233876281544,12.0,,,Fresno,25393.0,3.209,4.209,7.418,,,,2.0,,,,,,,,,,,No,,,False,True,8268,230,36.14021389,-120.1254164,0.24375282632280942,True
pge,FELLOWS,35.19473434349657,-119.58611007274465,21.0,,,Kern,25424.0,0.038,0.038,0.076,,,,2.0,,,,,,,,,,,Yes,,,False,True,242,115,35.19517779,-119.5852944,0.08902212275789605,True
pge,PITTSBURG,38.03070653596985,-121.8692592247712,4.16,,,Diablo,1216.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,Yes,,,False,True,1590,66,38.03040028,-121.8694191,0.03682068663673028,True
pge,GIFFEN,36.54577475933991,-120.33539282422548,12.0,,,Fresno,25315.0,1.194,2.425,3.619,,,,1.0,,,,,,,,,,,No,,,False,True,116,66,36.63241754,-120.3423122,9.65402404240416,False
pge,BAKERSFIELD,35.38858633344532,-119.00445108128255,12.0,,,Kern,25337.0,2.971,3.185,6.156,,,,6.0,,,,,,,,,,,No,,,False,True,228,66,35.38723247,-119.004436,0.15054895416933806,True
pge,GRAND ISLAND,38.23143431844358,-121.59064447220264,21.0,,,Sacramento,6246.0,7.48,9.456,16.936,,,,3.0,,,,,,,,,,,No,,,False,True,975,66,38.27720009,-121.5158684,8.278218657885219,False
pge,CLARKSVILLE,38.6556481194856,-121.05997890956418,21.0,,,Sierra,15361.0,17.154,19.282,36.436,,,,3.0,,,,,,,,,,,No,,,False,True,2304,66,38.64677997,-121.0705589,1.3477734909852495,True
pge,CHANNEL,37.95540129864133,-121.33245614324008,12.0,,,Stockton,16307.0,1.867,2.104,3.971,,,,1.0,,,,,,,,,,,No,,,False,True,1140,66,37.955259,-121.332594,0.01991113399723254,True
pge,SAN RAMON,37.74487564264759,-121.93673033346126,21.0,,,Mission,1423.0,19.726,26.251,45.977,,,,4.0,,,,,,,,,,,No,,,False,True,7789,66,37.74468834,-121.935896,0.07625946545790716,True
pge,TAR FLAT,37.98475497824085,-120.37980694800358,4.16,,,Yosemite,16324.0,0.587,0.651,1.238,,,,1.0,,,,,,,,,,,No,,,False,True,1511,115,37.96718047,-120.3864075,2.0380384575761363,False
pge,WILSON,37.2934446066299,-120.40695900507797,12.0,,,Yosemite,25430.0,1.601,1.892,3.493,,,,1.0,,,,,,,,,,,No,,,False,True,619,115,37.29339509,-120.4071739,0.019791007457720174,True
pge,SAN JOAQUIN,36.62114126800271,-120.17810289515532,12.0,,,Fresno,25236.0,3.741,3.754,7.495,,,,2.0,,,,,,,,,,,No,,,False,True,144,66,36.62093615,-120.1783513,0.031806712376949944,True
pge,SAN MIGUEL,35.75222542522153,-120.68382054645429,12.0,,,Los Padres,18266.0,1.807,1.933,3.74,,,,1.0,,,,,,,,,,,No,,,False,True,2242,66,35.75233608,-120.6839668,0.01804386063813228,True
pge,WRIGHT,37.01392488612878,-120.94478091254076,12.0,,,Yosemite,25464.0,4.052,12.162,16.214,,,,1.0,,,,,,,,,,,No,,,False,True,1640,230,37.01341111,-120.9452333,0.06983637935609842,True
pge,CAYETANO,37.73836825979488,-121.77069648385788,21.0,,,Mission,1442.0,6.215,6.307,12.522,,,,1.0,,,,,,,,,,,No,,,False,True,1551,66,37.738605,-121.7711633,0.04876478085797672,True
pge,PIERCY,37.27020479293485,-121.78738454597324,21.0,,,San Jose,8391.0,19.29,20.339,39.629,,,,1.0,,,,,,,,,,,No,,,False,True,1813,115,37.26909516,-121.7872462,0.12399137546056616,True
pge,COALINGA NO 2,36.237727890424445,-120.31459024852086,12.0,,,Fresno,25238.0,0.141,10.861,11.002,,,,1.0,,,,,,,,,,,No,,,False,True,1655,66,36.23719531,-120.3147162,0.06028798515430973,True
pge,SANTA TERESA,37.238496970450434,-121.79054338190755,21.0,,,San Jose,8296.0,4.411,5.189,9.6,,,,,,,,,,,,,,,No,,,False,True,1244,115,37.2445636,-121.7950654,0.7844056325205013,True
pge,PLUMAS,39.0262294520019,-121.54346448414113,21.0,,,Sacramento,15373.0,15.83,17.82,33.65,,,,2.0,,,,,,,,,,,No,,,False,True,1495,66,39.02624606,-121.543052,0.03567929101857296,True
pge,IGNACIO,38.075692626064345,-122.53961816606646,12.0,,,Sonoma,4248.0,9.418,12.139,21.557,,,,2.0,,,,,,,,,,,No,,,False,True,8511,230,38.07693736,-122.5405147,0.1591072793905285,True
pge,JANES CREEK,40.90518967567011,-124.07217770855576,12.0,,,Humboldt,19239.0,5.726,7.439,13.165,,,,2.0,,,,,,,,,,,No,,,False,True,171,66,40.90513782,-124.072347,0.015351382507049541,True
pge,VICTOR,38.14519826927607,-121.1770973185347,12.0,,,Stockton,16328.0,4.804,8.106,12.91,,,,2.0,,,,,,,,,,,No,,,False,True,1169,66,38.14550601,-121.177581,0.05440609335793737,True
pge,COARSEGOLD,37.22741691128599,-119.690552055026,21.0,,,Yosemite,25443.0,3.922,4.566,8.488,,,,2.0,,,,,,,,,,,No,,,False,True,569,115,37.22747611,-119.6907452,0.01832382688763263,True
pge,ARANA,36.98438410414178,-121.99012545589314,4.16,,,Central Coast,8301.0,1.491,1.588,3.079,,,,2.0,,,,,,,,,,,No,,,False,True,2174,66,36.98428761,-121.9903777,0.024841649750249727,True
pge,BONITA,36.96781971171099,-120.2031525152736,12.0,,,Yosemite,25539.0,3.111,4.614,7.725,,,,1.0,,,,,,,,,,,No,,,False,True,1967,66,36.96772403,-120.2026749,0.043745726350292675,True
pge,NARROWS,39.235347065419134,-121.26906719226427,21.0,,,Sierra,15313.0,8.372,9.209,17.581,,,,2.0,,,,,,,,,,,No,,,False,True,664,66,39.20900553,-121.3032691,4.1544746824386385,False
pge,UKIAH,39.14297181783122,-123.19174687279155,12.0,,,Humboldt,4277.0,5.757,6.269,12.026,,,,2.0,,,,,,,,,,,No,,,False,True,600,115,39.14314957,-123.1918149,0.020617426258082907,True
pge,ARLINGTON,37.88897961680794,-122.27297827230667,4.16,,,East Bay,1370.0,1.297,1.402,2.699,,,,1.0,,,,,,,,,,,No,,,False,True,2133,66,37.88892428,-122.272939,0.007052579892026525,True
pge,WELLFIELD,35.22496336365365,-118.77833722283752,12.0,,,Kern,25429.0,0.0,0.0,0.0,,,,2.0,,,,,,,,,,,No,,,False,True,279,66,35.22432026,-118.7789744,0.09199731895068664,True
