osm_display_name,osm_original_name,osm_operator,match_type,match_source,match_util,matched_name,dist_km,osm_lat,osm_lon,osm_id,osm_type
Montague Substation,Montague Substation,,name,IOU,pge,MONTAGUE,,37.415405,-121.8884658,120347589,way
Moraga Substation,Moraga Substation,Pacific Gas and Electric Company,name,IOU,pge,MORAGA,0.101,37.8477991,-122.1611735,33108052,way
Morgan Hill Substation,Morgan Hill Substation,Pacific Gas and Electric Company,name,IOU,pge,MORGAN HILL,,37.1267953,-121.6593936,61558067,way
Morro Bay,Morro Bay,Pacific Gas and Electric Company,name,IOU,pge,MORRO BAY,,35.3738781,-120.8555879,93420676,way
Mountain Quarries Substation,Mountain Quarries Substation,,name,IOU,pge,MOUNTAIN QUARRIES,,38.9139964,-121.0189791,7221425253,node
Mountain View Substation,Mountain View Substation,,name,IOU,pge,MOUNTAIN VIEW,,33.9608985,-117.4274578,1282256525,way
Newman Substation,Newman Substation,Pacific Gas and Electric Company,name,IOU,pge,NEWMAN,,37.3155776,-121.0148952,1464397566,way
Noriega Substation,Noriega Substation,,name,IOU,pge,NORIEGA,,37.7527565,-122.504766,4214350591,node
Nortech Substation,Nortech Substation,Pacific Gas and Electric Company,name,IOU,pge,NORTECH,,37.4205581,-121.9599446,539148054,way
North Dublin Substation,North Dublin Substation,Pacific Gas and Electric Company,name,IOU,pge,NORTH DUBLIN,,37.7447316,-121.857841,1006618935,way
North Tower Substation,North Tower Substation,Pacific Gas and Electric Company,name,IOU,pge,NORTH TOWER,,38.0662071,-122.1963036,59450840,way
Notre Dame Substation,Notre Dame Substation,Pacific Gas and Electric Company,name,IOU,pge,NOTRE DAME,,39.7302615,-121.796306,873098676,way
Oakland C Substation,Oakland C Substation,Pacific Gas and Electric Company,name,IOU,pge,OAKLAND C,,37.7973777,-122.2807519,47386641,way
Oakland C Substation,Oakland C Substation,Pacific Gas and Electric Company,name,IOU,pge,OAKLAND C,,37.7979031,-122.282143,47386656,way
Oakland D Substation,Oakland D Substation,Pacific Gas and Electric Company,name,IOU,pge,OAKLAND D,,37.8374161,-122.2635201,125686119,way
Oakland J Substation,Oakland J Substation,Pacific Gas and Electric Company,name,IOU,pge,OAKLAND J,,37.7630288,-122.2144359,540298861,way
