name,owner_raw,type,status,latitude,longitude,county,city
Unknown - 4202,PG&E FRESNO,SUBSTATION,Operational,36.15192315,-119.58887651,Kings County,
Woodland Biomass,PG&E,SUBSTATION,Operational,38.69506131,-121.734428,,
Unknown - 4208,PG&E FRESNO,SUBSTATION,Operational,36.24047371,-119.90441564,Kings County,
Unknown - 4211,PG&E GBA,NOT AVAILABLE,Operational,36.58771472,-121.86608751,Monterey County,Monterey
Unknown - 4212,PG&E FRESNO,SUBSTATION,Operational,37.29154297,-119.52963638,Madera County,
Trans Bay Cable Facility,PG&E GBA,SUBSTATION,Operational,37.75482931,-122.38600672,San Francisco County,San Francisco
Unknown - 4215,PG&E NGBA,SUBSTATION,Operational,38.90278219,-121.30355733,Placer County,Lincoln
Unknown - 4216,PG&E NGBA,SUBSTATION,Operational,38.64509758,-121.39759914,Sacramento County,North Highlands
Unknown - 4217,PG&E FRESNO,SUBSTATION,Operational,36.61749568,-120.38789171,Fresno County,
Unknown - 4220,PG&E GBA,SUBSTATION,Operational,37.65187432,-120.67478464,Stanislaus County,
Unknown - 4221,PG&E KERN,SUBSTATION,Operational,35.11516924,-119.47495274,Kern County,
Walnut - (PG&E GBA),PG&E GBA,SUBSTATION,Operational,37.49031745,-120.90708394,Stanislaus County,
Unknown - 4229,PG&E NGBA,SUBSTATION,Operational,40.54168938,-124.06407317,Humboldt County,Hydesville
Dynegy Oakland Power Plant,PG&E GBA,SUBSTATION,Operational,37.79642704,-122.2809158,Alameda County,Oakland
Unknown - 4231,PG&E FRESNO,SUBSTATION,Operational,35.8123834,-119.4546487,Tulare County,
Unknown - 4232,PG&E NGBA,DEAD END,Operational,38.199169,-122.15841477,Solano County,Fairfield
Unknown - 4233,PG&E NGBA,SUBSTATION,Operational,38.57091916,-121.43271488,Sacramento County,Sacramento
Unknown - 4240,PG&E KERN,SUBSTATION,Operational,35.32640686,-118.82431958,Kern County,
Unknown - 4241,PG&E FRESNO,NOT AVAILABLE,Operational,36.5392822,-119.58091568,Fresno County,Kingsburg
Unknown - 4247,PG&E FRESNO,SUBSTATION,Operational,36.53855409,-119.5807441,Fresno County,Kingsburg
Unknown - 4248,PG&E NGBA,RISER,Operational,38.5859199,-121.28188486,Sacramento County,Rancho Cordova
Unknown - 4249,PG&E FRESNO,SUBSTATION,Operational,37.5220859,-120.31015808,Mariposa County,
Unknown - 4250,PG&E GBA,NOT AVAILABLE,Operational,37.67725884,-122.09195029,Alameda County,Hayward
Imhoff Tap 1,PG&E GBA,TAP,Operational,38.01788358,-122.06714033,Contra Costa County,"Concord--Walnut Creek, CA"
Unknown - 4253,PG&E FRESNO,TAP,Operational,37.07096962,-119.53435423,Fresno County,
Unknown - 4254,PG&E NGBA,TAP,Operational,40.41308355,-120.73783518,Lassen County,
Avena Tap 1,PG&E GBA,TAP,Operational,37.84303867,-121.05465402,San Joaquin County,
Unknown - 4260,PG&E GBA,TAP,Operational,37.48280808,-122.16712128,San Mateo County,Menlo Park
Unknown - 4261,PG&E KERN,TAP,Operational,35.44763108,-119.68965945,Kern County,
Unknown - 4262,PG&E FRESNO,TAP,Operational,36.82686366,-119.61000318,Fresno County,
Unknown - 4264,PG&E NGBA,TAP,Operational,39.11358349,-121.33176628,Yuba County,Beale AFB
Dumbarton Tap,PG&E GBA,TAP,Operational,37.55046605,-122.07098786,Alameda County,Fremont
James Black Tap,PG&E NGBA,TAP,Operational,40.92428321,-121.92984487,Shasta County,
Bollman Tap 1,PG&E GBA,TAP,Operational,38.03092401,-122.03372481,Contra Costa County,
Unknown - 4271,PG&E NGBA,TAP,Operational,38.07718202,-122.22184578,Solano County,Vallejo
Unknown - 4273,PG&E NGBA,TAP,Operational,38.62733578,-121.49817879,Sacramento County,Sacramento
Unknown - 4274,PG&E KERN,TAP,Operational,35.0912301,-119.44568353,Kern County,
Unknown - 4275,PG&E NGBA,TAP,Operational,38.66426787,-121.26230061,Sacramento County,Fair Oaks
Unknown - 4276,PG&E GBA,TAP,Operational,38.18954314,-121.40883661,San Joaquin County,
Unknown - 4277,PG&E NGBA,TAP,Operational,38.5178364,-121.37861312,Sacramento County,Sacramento
Unknown - 4278,PG&E KERN,TAP,Operational,35.08997446,-119.44239879,Kern County,
Unknown - 4279,PG&E NGBA,TAP,Operational,38.46942107,-121.41832716,Sacramento County,Sacramento
Unknown - 4280,PG&E NGBA,TAP,Operational,39.2779929,-122.03557766,Colusa County,
Unknown - 4281,PG&E NGBA,TAP,Operational,38.47403839,-121.45003401,Sacramento County,Sacramento
Unknown - 4283,PG&E FRESNO,TAP,Operational,36.30555001,-119.79765435,Kings County,Lemoore
Unknown - 4284,PG&E NGBA,TAP,Operational,38.42334846,-121.36999761,Sacramento County,Elk Grove
Unknown - 4285,PG&E NGBA,TAP,Operational,38.43059761,-121.45767453,Sacramento County,
Unknown - 4288,PG&E NGBA,TAP,Operational,40.19899397,-123.70786628,Humboldt County,
Unknown - 4290,PG&E KERN,TAP,Operational,34.66784521,-120.4398674,Santa Barbara County,
Unknown - 4291,PG&E NGBA,TAP,Operational,39.12309392,-122.12665166,Colusa County,Williams
Geysers Tap 7,PG&E NGBA,TAP,Operational,38.78161795,-122.76716913,Sonoma County,
Unknown - 4293,PG&E NGBA,TAP,Operational,38.62464991,-121.44624683,Sacramento County,Sacramento
Owens Illinois Tap,PG&E GBA,TAP,Operational,37.71227957,-121.48692323,San Joaquin County,
Unknown - 4297,PG&E FRESNO,TAP,Operational,36.57465778,-119.36814794,Fresno County,
Unknown - 4298,PG&E NGBA,TAP,Operational,40.26750697,-123.76846327,Humboldt County,
Unknown - 4299,PG&E FRESNO,TAP,Operational,36.13708505,-120.2448973,Fresno County,Coalinga
Unknown - 4300,PG&E NGBA,TAP,Operational,38.65329069,-121.22577315,Sacramento County,Fair Oaks
Unknown - 4302,PG&E FRESNO,TAP,Operational,36.88019991,-120.11031021,Madera County,
Unknown - 4303,PG&E NGBA,TAP,Operational,40.78039368,-124.17159417,Humboldt County,Eureka
Unknown - 4304,PG&E KERN,TAP,Operational,35.47055943,-119.12528822,Kern County,
Unknown - 4305,PG&E NGBA,TAP,Operational,40.72513766,-122.80653575,Trinity County,Lewiston
Unknown - 4307,PG&E NGBA,TAP,Operational,38.47672095,-121.7967628,Solano County,
Unknown - 4308,PG&E GBA,TAP,Operational,38.12872099,-121.25699067,San Joaquin County,Lodi
San Bruno Tap,PG&E GBA,TAP,Operational,37.61570212,-122.43988453,San Mateo County,
Unknown - 4310,PG&E FRESNO,TAP,Operational,36.6177134,-120.19757515,Fresno County,
Unknown - 4311,PG&E NGBA,TAP,Operational,38.29555097,-121.80736882,Solano County,
Unknown - 4314,PG&E FRESNO,TAP,Operational,37.18589528,-120.48835176,Merced County,
Spring Gap Tap,PG&E GBA,TAP,Operational,38.16837278,-120.1000746,Tuolumne County,
Unknown - 4316,PG&E NGBA,TAP,Operational,38.58039971,-121.36584102,Sacramento County,Arden-Arcade
Unknown - 4318,PG&E NGBA,TAP,Operational,38.53202392,-121.42955385,Sacramento County,Sacramento
Unknown - 4322,PG&E NGBA,TAP,Operational,40.58619755,-122.39570184,Shasta County,Redding
Unknown - 4323,PG&E FRESNO,TAP,Operational,36.19477505,-120.31907728,Fresno County,
Unknown - 4324,PG&E GBA,TAP,Operational,38.01260145,-121.85402352,Contra Costa County,Pittsburg
Unknown - 4326,PG&E NGBA,TAP,Operational,38.7288849,-121.38312983,Placer County,
Unknown - 4329,PG&E GBA,TAP,Operational,38.14641966,-121.24339255,San Joaquin County,
Unknown - 4330,PG&E KERN,TAP,Operational,35.38335909,-119.64266747,Kern County,
Evergreen Tap,PG&E GBA,TAP,Operational,37.29238606,-121.84881033,Santa Clara County,San Jose
Unknown - 4332,PG&E GBA,TAP,Operational,37.73039234,-121.68914861,Alameda County,
Mustang - (PG&E KERN),PG&E KERN,TAP,Operational,35.3133928,-120.65302493,San Luis Obispo County,
Beardsley Tap,PG&E GBA,TAP,Operational,38.17951246,-120.06029323,Tuolumne County,
Unknown - 4337,PG&E NGBA,TAP,Operational,41.44892796,-120.88057587,Modoc County,Canby
Unknown - 4339,PG&E KERN,TAP,Operational,34.70071236,-120.43625378,Santa Barbara County,
Robertson-Fairoaks Tap,PG&E NGBA,TAP,Operational,38.63205928,-121.32824468,Sacramento County,Carmichael
Unknown - 4343,PG&E KERN,TAP,Operational,35.31440813,-118.97761261,Kern County,Bakersfield
Evergreen Tap 2,PG&E GBA,TAP,Operational,37.31917526,-121.85738651,Santa Clara County,San Jose
Unknown - 4345,PG&E NGBA,TAP,Operational,40.03328285,-122.09630355,Tehama County,Los Molinos
Engle-Eastern Tap,PG&E NGBA,TAP,Operational,38.63199791,-121.36307984,Sacramento County,Arden-Arcade
Daly City Tap,PG&E GBA,TAP,Operational,37.68093266,-122.42973879,San Mateo County,"San Francisco--Oakland, CA"
Unknown - 4350,PG&E GBA,TAP,Operational,38.01256462,-121.85451039,Contra Costa County,Pittsburg
Unknown - 4354,PG&E GBA,TAP,Operational,37.6670972,-120.92148954,Stanislaus County,Modesto
Unknown - 4355,PG&E KERN,TAP,Operational,35.06025008,-119.06489459,Kern County,
Unknown - 4357,PG&E GBA,TAP,Operational,38.39145214,-121.27391393,Sacramento County,Wilton
Unknown - 4358,PG&E NGBA,TAP,Operational,38.6779319,-121.31544784,Sacramento County,Citrus Heights
Unknown - 4359,PG&E GBA,TAP,Operational,37.9208599,-120.48154907,Tuolumne County,
Unknown - 4360,PG&E NGBA,TAP,Operational,39.1134012,-121.3317227,Yuba County,Beale AFB
Melones Tap 1,PG&E GBA,TAP,Operational,37.98499411,-120.64489423,Calaveras County,Copperopolis
Luka Tap,PG&E GBA,TAP,Operational,37.67357101,-121.83555449,Alameda County,"Livermore--Pleasanton--Dublin, CA"
