utility,substation_name,util_lat,util_lon,basin_lat,basin_lon
pge,FREMONT,37.5418196595348,-121.961946339948,37.54136311404011,-121.96195742157144
pge,NEWARK 21KV,37.50289932556285,-121.98163324660962,37.50280390429028,-121.9817169420632
pge,COTTONWOOD,40.39732263215315,-122.26727834579738,40.39788002258034,-122.26422492870724
pge,BEACH (Q),37.80767668920345,-122.41439367858108,,
pge,SUMMIT,39.31945516117808,-120.37918428385689,39.31928513190563,-120.37884971476753
pge,GONZALES,36.50924719473701,-121.44649143497328,36.50886506696333,-121.44689042031597
pge,RIO BRAVO,35.44206083008288,-119.26062694774596,35.44202960741,-119.2607153968728
pge,LEMOORE,36.30978580363061,-119.79816461547026,36.309333811206585,-119.79830060208944
pge,RAWSON,40.14506917599813,-122.2122547593741,40.14997334510596,-122.21302309610718
pge,RUSSELL,37.85452448999599,-122.27989615948655,,
pge,COALINGA NO 1,36.13620074047216,-120.34415486251105,36.136203290897456,-120.34422914244838
pge,HALSEY,38.95682089677347,-121.04286722342916,38.95692847708868,-121.04223033527708
pge,SF M,37.733508415379255,-122.43054770849852,,
pge,SAN JOAQUIN #3,37.25390411510671,-119.51929522608286,,
pge,MIDWAY,35.40071397340408,-119.44889279756244,35.403680946179904,-119.45237612261928
pge,DIXON LANDING,37.45705888772975,-121.92097272747756,37.45755414227556,-121.92127798956194
pge,MORAGA,37.84853384034408,-122.16184860596728,37.84776392918334,-122.16083185480454
pge,PIT NO 5,40.98670271889426,-121.97630522163178,40.98672928632707,-121.97658491117306
pge,ANTELOPE,35.657909182784095,-119.99680487400924,35.657901199099186,-119.9964344714247
pge,ALPINE,38.46682532572175,-120.0381940068952,,
pge,COALINGA NO 2,36.237727890424445,-120.31459024852086,36.23719530813537,-120.31471623769188
pge,POSO MOUNTAIN,35.559202917522015,-118.95782903329666,35.55923489011593,-118.95764321438143
pge,EUREKA A,40.79388382264845,-124.18290357012602,40.79375287687645,-124.18327027149384
pge,SF N,37.76138387988553,-122.4664254717227,,
pge,CRESTA PH,39.82649357391756,-121.4096899580418,39.82643415142927,-121.4094876870716
pge,NORCO,35.28554247160178,-119.30890079948529,35.28599981233232,-119.30903741111212
pge,SF P (HUNTERS POINT),37.737055022315424,-122.37748705304148,37.73691799383807,-122.37686636880566
pge,MAXWELL,39.27720532980578,-122.15302787153044,39.27695996315382,-122.15328887379604
pge,ECHO SUMMIT,38.82437656201053,-120.0284989889445,,
pge,CROWS LANDING,37.37774567278726,-121.08632626856836,37.37738332848153,-121.08590273598206
pge,PIT NO 3,40.99802297914013,-121.7472863637594,40.9976967164697,-121.74764364029494
