name,owner_raw,type,status,latitude,longitude,county,city
Al Bahr 1,SDG&E,SUBSTATION,,32.84444628,-117.26600065,San Diego County,
Roswell,SDG&E,SUBSTATION,,32.71026711,-117.08459435,San Diego County,
Balboa Stadium 1,SDG&E,SUBSTATION,,32.71974958,-117.1513103,San Diego County,
Brown Field,SDG&E,SUBSTATION,,32.56836668,-116.99295935,San Diego County,
Carlsbad 1,SDG&E,SUBSTATION,,33.16200908,-117.35123659,San Diego County,
Carlsbad 3,SDG&E,SUBSTATION,,33.16202837,-117.35120427,San Diego County,
Cardiff 2,SDG&E,SUBSTATION,,33.02247251,-117.27966915,San Diego County,
Plaza 1,SDG&E,SUBSTATION,,32.67545776,-117.09745833,San Diego County,
Hickory 1,SDG&E,SUBSTATION,,32.75607601,-117.18924122,San Diego County,
Broadway - SDG&E,SDG&E,SUBSTATION,,33.14490044,-117.09041878,San Diego County,
Bancroft - SDG&E,SDG&E,SUBSTATION,,32.77330625,-116.99959218,San Diego County,
Magnolia,SDG&E,SUBSTATION,,32.83908869,-116.96787816,San Diego County,
Eo1,SDG&E,SUBSTATION,,32.70996347,-117.06105798,San Diego County,
Eo2,SDG&E,SUBSTATION,,32.70996349,-117.06101243,San Diego County,
Oceanside 4,SDG&E,SUBSTATION,,33.20059815,-117.38283479,San Diego County,
Eo3,SDG&E,SUBSTATION,,32.7099637,-117.06096602,San Diego County,
Oceanside 5,SDG&E,SUBSTATION,,33.19493643,-117.38299748,San Diego County,
Moore,SDG&E,SUBSTATION,,33.01202928,-116.927476,San Diego County,
Fallbrook 1,SDG&E,SUBSTATION,,33.36948723,-117.25361288,San Diego County,
Fallbrook 2,SDG&E,SUBSTATION,,33.36943877,-117.25361133,San Diego County,
Reidy Canyon,SDG&E,SUBSTATION,,33.18239995,-117.09271029,San Diego County,
Julian,SDG&E,SUBSTATION,,33.07881547,-116.60380959,San Diego County,
Dehesa Valley,SDG&E,SUBSTATION,,32.79044903,-116.83651647,San Diego County,
Pauma Valley,SDG&E,SUBSTATION,,33.30072253,-116.9848595,San Diego County,
Crestline,SDG&E,SUBSTATION,,33.31210251,-116.85843581,San Diego County,
Oaks 1,SDG&E,SUBSTATION,,33.07009194,-116.59114171,San Diego County,
Pine Hills,SDG&E,SUBSTATION,,33.05602782,-116.62111881,San Diego County,
Rainbow 1,SDG&E,SUBSTATION,,33.40857951,-117.14772148,San Diego County,
Salton,SDG&E,SUBSTATION,,33.07421678,-116.58321933,San Diego County,
Sewage Pumping Station #1,SDG&E,SUBSTATION,,32.68113688,-117.11831786,San Diego County,
Adams,SDG&E,SUBSTATION,,32.76225701,-117.14344191,San Diego County,
Central,SDG&E,SUBSTATION,,32.71426323,-117.15861324,San Diego County,
Lincoln Acres,SDG&E,SUBSTATION,,32.67552602,-117.07666959,San Diego County,
Naval Training Center  Station C,SDG&E,SUBSTATION,,32.73184642,-117.21658431,San Diego County,
North Vista,SDG&E,SUBSTATION,,33.22516344,-117.22821933,San Diego County,
Vista - SDG&E,SDG&E,SUBSTATION,,33.20252251,-117.24427571,San Diego County,
Sewage Pumping Station #64,SDG&E,SUBSTATION,,32.89879278,-117.22244391,San Diego County,
Shorecliffs,SDG&E,SUBSTATION,,33.44247266,-117.64169148,Orange County,
East Oceanside,SDG&E,SUBSTATION,,33.19754431,-117.35403255,San Diego County,
San Clemente,SDG&E,SUBSTATION,,33.4295653,-117.61636197,Orange County,
Bostonia,SDG&E,SUBSTATION,,32.79994777,-116.93783343,San Diego County,
Calavo Gardens,SDG&E,SUBSTATION,,32.76967366,-116.95829578,San Diego County,
Hilltop - SDG&E,SDG&E,SUBSTATION,,32.63003725,-117.0635172,San Diego County,
Market,SDG&E,SUBSTATION,,32.71258644,-117.09384885,San Diego County,
Rolando,SDG&E,SUBSTATION,,32.76218911,-117.06410699,San Diego County,
Amherst,SDG&E,SUBSTATION,,32.76773517,-117.04014257,San Diego County,
Sewage Pumping Station #2,SDG&E,SUBSTATION,,32.72972015,-117.20813316,San Diego County,
Mira Sorrento,SDG&E,SUBSTATION,,32.89273637,-117.20589149,San Diego County,
South San Clemente,SDG&E,SUBSTATION,,33.41737171,-117.60307073,Orange County,
Ramona - SDG&E,SDG&E,SUBSTATION,,33.04122018,-116.87062686,San Diego County,
Salt Creek - SDG&E,SDG&E,SUBSTATION,,32.61940535,-116.94945122,San Diego County,
North County Metering,SDG&E,SUBSTATION,,33.0895823,-117.20322604,San Diego County,
Drew Switchyard,SDG&E,SUBSTATION,,32.67811141,-115.67159358,Imperial County,
Birch,SDG&E,SUBSTATION,,32.6861921,-117.10765832,San Diego County,
Highland 1,SDG&E,SUBSTATION,,32.69364477,-117.10203042,San Diego County,
Las Palmas - SDG&E,SDG&E,SUBSTATION,,32.66462784,-117.09251505,San Diego County,
Flower,SDG&E,SUBSTATION,,32.64609144,-117.09076121,San Diego County,
North Otay 1,SDG&E,SUBSTATION,,32.61686311,-117.07465052,San Diego County,
North Otay 2,SDG&E,SUBSTATION,,32.61670721,-117.07458873,San Diego County,
North Otay 3,SDG&E,SUBSTATION,,32.61660679,-117.07454928,San Diego County,
Flintridge,SDG&E,SUBSTATION,,32.67867849,-117.0693864,San Diego County,
Reo,SDG&E,SUBSTATION,,32.67937289,-117.06715662,San Diego County,
El Rancho Vista,SDG&E,SUBSTATION,,32.63918556,-117.06491543,San Diego County,
Fairmount 2,SDG&E,SUBSTATION,,32.7631008,-117.09670633,San Diego County,
Monroe 3,SDG&E,SUBSTATION,,32.76297656,-117.10828765,San Diego County,
Linda Vista 2,SDG&E,SUBSTATION,,32.79110706,-117.16387378,San Diego County,
Sampson 1,SDG&E,SUBSTATION,,32.69625537,-117.14120028,San Diego County,
Sampson 2,SDG&E,SUBSTATION,,32.69635004,-117.14111032,San Diego County,
Upas 2,SDG&E,SUBSTATION,,32.74121931,-117.12949869,San Diego County,
Volta,SDG&E,SUBSTATION,,32.77655218,-117.16504862,San Diego County,
Hillcrest 3,SDG&E,SUBSTATION,,32.74677582,-117.16458695,San Diego County,
