utility,substation_name,util_lat,util_lon,cec_lat,cec_lon,type,status
pge,WHISMAN,37.40496417559913,-122.0690328952126,37.40499229,-122.06853966,SUBSTATION,Operational
pge,OAKLAND X,37.80525464784044,-122.23148010243337,37.80528491,-122.2312545,SUBSTATION,Operational
pge,TUPMAN,35.35313544613848,-119.27093751559444,35.35415616,-119.2706431,SUBSTATION,Operational
pge,AUBERRY,37.0682317832377,-119.49617440265196,37.06798297,-119.4957038,SUBSTATION,Operational
pge,TRES PINOS,36.78439384314798,-121.3195803556968,36.78441109,-121.31964043,SUBSTATION,
pge,SPENCE,36.61397731072983,-121.56666763878204,36.61374789,-121.56712033,SUBSTATION,Operational
pge,WAHTOKE,36.61521376920539,-119.45225124272176,36.61538566,-119.45259608,SUBSTATION,Operational
pge,WELLFIELD,35.22496336365365,-118.77833722283752,35.22431531,-118.77896203,SUBSTATION,Operational
pge,RIVERBANK,37.76887583084935,-120.90778635201956,37.76919802,-120.9078318,SUBSTATION,Operational
pge,OLEMA,38.042251130418286,-122.7863974329975,38.04217391,-122.78643889,SUBSTATION,Operational
pge,ZACA,34.69665857732155,-120.15172324390338,34.69669893,-120.15146427,SUBSTATION,Operational
pge,PARLIER,36.60756183371276,-119.52147471307352,36.60754847,-119.52129745,SUBSTATION,Operational
pge,SANTA RITA,37.05503123485525,-120.63408256251265,37.05464219,-120.63398158,SUBSTATION,Operational
pge,PEABODY,38.28556962442518,-121.97162432823951,38.28545909,-121.97069289,SUBSTATION,Operational
pge,BASALT,38.26311376964152,-122.26904909242027,38.26315702,-122.26921876,SUBSTATION,Operational
pge,SANTA ROSA A,38.43690591996298,-122.71335000873452,38.43677053,-122.71341952,SUBSTATION,Operational
pge,HONCUT,39.3207327968909,-121.59528383517107,39.32057514,-121.5953144,SUBSTATION,Operational
pge,BARRY,39.069242120060025,-121.68996821514853,39.06921128,-121.68983455,SUBSTATION,Operational
pge,PIKE CITY,39.43821522456168,-120.9959439071993,39.43810092,-120.99608554,SUBSTATION,Operational
pge,ARCATA,40.86730949748007,-124.08825985825644,40.86707613,-124.08841041,SUBSTATION,Operational
pge,CORRAL,38.10147374789754,-120.92528602571213,38.10147557,-120.92616284,SUBSTATION,Operational
pge,PUEBLO,38.34543841547816,-122.299196392614,38.34521481,-122.29944017,SUBSTATION,Operational
pge,CHICO A,39.71896295197578,-121.82083893681968,39.71883501,-121.82090726,SUBSTATION,Operational
pge,REDBUD,39.027411633952696,-122.66266510947312,39.02753001,-122.66236986,SUBSTATION,Operational
pge,SEMITROPIC,35.600617453739545,-119.4375052688722,35.60074076,-119.43751153,SUBSTATION,Operational
pge,WILSON,37.2934446066299,-120.40695900507797,37.29339004,-120.40716103,SUBSTATION,Operational
pge,WATERLOO,38.05131599877336,-121.20945809220316,38.05162573,-121.20987949,SUBSTATION,Operational
pge,DAIRYVILLE,40.1280600543476,-122.09824574117305,40.12801843,-122.09834284,SUBSTATION,Operational
pge,LOGAN CREEK,39.53921325844442,-122.2628031886025,39.53950609,-122.26303744,SUBSTATION,Operational
pge,PALO SECO,37.81955732296677,-122.20690655429549,37.81910154,-122.20594215,SUBSTATION,Operational
pge,LOS GATOS,37.22645888521239,-121.97717996165842,37.22643488,-121.97733907,SUBSTATION,Operational
pge,RIO DELL,40.495345252516735,-124.09933588858924,40.4953848,-124.09925424,SUBSTATION,Operational
pge,SAN CARLOS,37.49925681676064,-122.2433672056333,37.49974836,-122.24405025,SUBSTATION,Operational
pge,BONITA,36.96781971171099,-120.2031525152736,36.92391321,-120.20156688,SUBSTATION,Operational
pge,CHARCA,35.608124985119254,-119.32533697812512,35.60807005,-119.32530137,SUBSTATION,Operational
pge,WILLOW PASS,38.02501979007568,-121.96117701573776,38.02476532,-121.96096012,SUBSTATION,Operational
pge,OLD RIVER,35.20832874558806,-119.10078114322462,35.20842563,-119.10067378,SUBSTATION,Operational
pge,COLUMBIA HILL,39.3315648176399,-121.10125373763962,39.33183504,-121.10133712,SUBSTATION,Operational
pge,MALAGA,36.6933448884706,-119.7259384506958,36.69324998,-119.7265213,SUBSTATION,Operational
pge,WASCO,35.6019019395657,-119.32598797488932,35.60180615,-119.32618191,SUBSTATION,Operational
pge,JOLON,36.01345405632114,-121.1673499639731,36.01323683,-121.16794549,SUBSTATION,Operational
pge,CARQUINEZ,38.09076019525074,-122.24869737229972,38.09086753,-122.24863813,SUBSTATION,Operational
pge,WEST LANE,37.99058390947568,-121.2838089984723,37.99020147,-121.28366768,SUBSTATION,Operational
pge,HAMMER,38.02161846146168,-121.3204489914979,38.02160197,-121.32036593,SUBSTATION,Operational
pge,HIGGINS,39.04402916015481,-121.0909371400403,39.04403542,-121.09067938,SUBSTATION,Operational
pge,HARRIS,40.781372534153576,-124.1319638474449,40.78090956,-124.13183956,SUBSTATION,Operational
pge,PAUL SWEET,36.99259833764791,-121.9820620699066,36.99231782,-121.98216624,SUBSTATION,Operational
pge,DESCHUTES,40.55543101923755,-122.23990905392132,40.55534765,-122.23979123,SUBSTATION,Operational
pge,WEEDPATCH,35.223900483374415,-118.88000875571748,35.22374228,-118.87999595,SUBSTATION,Operational
pge,SHADY GLEN,39.115253699631616,-120.95381821842112,39.11533935,-120.95293216,SUBSTATION,Operational
