name,owner_raw,type,status,latitude,longitude,county,city
Unknown - 3600,SCE Northern,RISER,Operational,34.2753218,-118.42370746,Los Angeles County,Los Angeles
Unknown - 3601,SCE Northern,SUBSTATION,Operational,34.20667298,-118.36256758,Los Angeles County,Burbank
Unknown - 3602,SCE Metro,RISER,Operational,33.83213216,-118.14321185,Los Angeles County,Long Beach
Unknown - 3604,SCE Metro,RISER,Operational,33.95474816,-118.41359279,Los Angeles County,Los Angeles
Unknown - 3605,SCE Northern,SUBSTATION,Operational,34.27129759,-118.55616195,Los Angeles County,Los Angeles
Highgrove,SCE,SUBSTATION,Operational,34.02228677,-117.33278519,San Bernardino County,Grand Terrace
Cal City,SCE,SUBSTATION,Operational,35.14257737,-117.96870088,Kern County,California City
Poole Ph,SCE,SUBSTATION,Operational,37.94437568,-119.21600329,Mono County,
Rush Creek,SCE,SUBSTATION,Operational,37.7665993,-119.12312103,Mono County,
Mammoth Pacific Il,SCE,SUBSTATION,Operational,37.64645275,-118.9100321,Mono County,
Mammoth Pacific I,SCE,SUBSTATION,Operational,37.64552423,-118.91463654,Mono County,
Oxbow,SCE,SUBSTATION,Operational,37.33530963,-118.48195979,Inyo County,
White Mt. Radio,SCE,SUBSTATION,Operational,37.41693293,-118.40284487,Inyo County,
Bishop Creek 3,SCE,SUBSTATION,Operational,37.30224712,-118.5317442,Inyo County,
Bishop Creek 4,SCE,SUBSTATION,Operational,37.32303193,-118.50175536,Inyo County,
Dwp,SCE,SUBSTATION,Operational,37.3601865,-118.39851021,Inyo County,Bishop
Bishop Creek 2,SCE,SUBSTATION,Operational,37.27386587,-118.57361798,Inyo County,
Big Creek 2A,SCE,SUBSTATION,Operational,37.20010183,-119.30685572,Fresno County,
Eastwood,SCE,SUBSTATION,Operational,37.14799489,-119.25660402,Fresno County,
Big Creek 8,SCE,SUBSTATION,Operational,37.2097076,-119.32884034,Fresno County,
Mammoth,SCE,SUBSTATION,Operational,37.22027822,-119.33800678,Madera County,
Big Creek 4,SCE,SUBSTATION,Operational,37.13886157,-119.4887262,Madera County,
Division Creek,SCE,SUBSTATION,Operational,36.94006531,-118.25693885,Inyo County,
Big Pine,SCE,SUBSTATION,Operational,37.14206638,-118.32414812,Inyo County,
Big Creek 3,SCE,SUBSTATION,Operational,37.14820605,-119.38852604,Fresno County,
Coso 1-3,SCE,SUBSTATION,Operational,36.03672659,-117.79794942,Inyo County,
Coso 8-9,SCE,SUBSTATION,Operational,36.00144491,-117.79017382,Inyo County,
Coso 7,SCE,SUBSTATION,Operational,36.00617014,-117.81017308,Inyo County,
Coso 4-6,SCE,SUBSTATION,Operational,36.01858404,-117.79152051,Inyo County,
Kern River 1,SCE,SUBSTATION,Operational,35.46016298,-118.77959579,Kern County,
Kern River 3,SCE,SUBSTATION,Operational,35.77619776,-118.43623443,Kern County,Kernville
Omar,SCE,SUBSTATION,Operational,35.45137171,-118.98390974,Kern County,
