substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
SALT SPRINGS,16369,Stockton,21,1,,6325,6643,12968,NO,-120.21883454678165,38.49873757346975
IONE,16388,Stockton,12,1,1,6545,6647,13192,NO,-120.95716660492279,38.37370944252769
SUMMIT,15259,Sierra,12,1,1,274,305,579,NO,-120.37918428385687,39.31945516117808
GRAYS FLAT,10253,North Valley,4.16,1,,24,24,48,NO,-121.06358402885091,40.022121493362896
MAPLE CREEK,19210,Humboldt,12,1,,702,707,1409,NO,-123.87400272507614,40.76836583499929
COVELO,04306,Humboldt,12,1,1,903,1063,1966,NO,-123.24873746443508,39.78636157593041
LAS POSITAS,01440,Mission,21,3,,9566,12408,21974,NO,-121.73350621738382,37.70094251288631
WILLOWS A,10274,North Valley,12,1,1,4032,4642,8674,NO,-122.18627003440443,39.53184406918284
BELMONT,02403,Peninsula,12,5,,27199,31911,59110,NO,-122.2655656379043,37.52392507929761
BORONDA,18246,Central Coast,12,1,,282,1182,1464,NO,-121.67942490459326,36.690641286171
POSO MOUNTAIN,25364,Kern,21,2,,5,5,10,YES,-118.95782903329666,35.559202917522015
PEABODY,06364,North Bay,21,3,,4563,4650,9213,NO,-121.97162432823953,38.28556962442518
SAN JOAQUIN #2,25252,Yosemite,12,1,,1091,1103,2194,NO,-119.49674358337344,37.20342953647724
EMBARCADERO (Z),02287,San Francisco,12,1,,8760,310,9070,NO,-122.39363802548573,37.787578098008446
SF M,02227,San Francisco,4.16,3,,3420,220,3640,NO,-122.43054770849852,37.733508415379255
INDUSTRIAL ACRES,18230,Central Coast,4.16,1,,1120,10,1130,NO,-121.62883846892647,36.664142645204045
CALISTOGA,04271,North Bay,12,1,1,8200,22860,31060,NO,-122.57827051121993,38.59257954214048
RUSSELL,01331,East Bay,4.16,1,,1110,240,1350,NO,-122.27989615948657,37.85452448999599
OAKLAND K,01210,East Bay,12,1,,14940,1260,16200,NO,-122.22891804293769,37.847862884381655
BIG LAGOON,19236,Humboldt,12,1,1,90,0,90,NO,-124.10221267671179,41.162116737480105
CALAVERAS CEMENT,16221,Stockton,12,1,,5150,4550,9700,NO,-120.66845206163633,38.17053149409406
COPPERMINE,25241,Fresno,12,1,,17680,820,18500,NO,-119.66471878611499,36.896317500012984
SAN BERNARD,25319,Kern,12,1,,730,24050,24780,NO,-118.87803756798586,35.092163724692846
BANTA,16247,Stockton,12,1,,0,720,720,NO,-121.35039565199938,37.75284027599063
6TH AVENUE,02253,San Francisco,4.16,3,,270,20,290,NO,-122.4647973814628,37.78165946851242
CARBONA,16309,Stockton,12,2,TB-2,0,0,0,NO,-121.4176316392395,37.69252466896478
SOTO,01326,Mission,4.16,2,,120,0,120,NO,-122.08545486907525,37.66853088274776
NORTH BRANCH,16323,Stockton,12,1,"TB-1,TB-2",0,100,100,NO,-120.71919834624333,38.19926518387522
MAINE PRAIRIE,06867,North Bay,4.16,1,1,140,0,140,NO,-121.75925484023578,38.38519794027344
WISHON,25151,Yosemite,12,1,,0,0,0,NO,-119.50518495210505,37.15077516130075
OAK,01260,East Bay,4.16,1,,1340,130,1470,NO,-122.28687516138622,37.90115636063787
ELK CREEK,10278,North Valley,12,1,1,640,180,820,NO,-122.54352006687898,39.59327331009217
PORTOLA,02261,San Francisco,4.16,2,,1380,120,1500,NO,-122.45297067958055,37.74525528678235
HOPLAND,04225,Humboldt,12,1,,4324,21615,25939,NO,-123.08117071435976,38.97287952085421
CASSERLY,08311,Central Coast,4.16,1,,200,10,210,NO,-121.76707419506339,36.96982661403625
LAWNDALE,02244,Peninsula,4.16,2,,727,826,1553,NO,-122.44306917304786,37.66284710325899
CARRIZO PLAINS,25346,Los Padres,12,1,1,331,331,662,NO,-120.04015761995842,35.381017002802906
PLACER,15246,Sierra,12,2,,8904,9734,18638,NO,-121.08791088443657,38.90151853238145
BOGARD,10330,North Valley,12,1,1,0,0,0,NO,-121.09185738763819,40.58832981461901
SHEPHERD,25206,Fresno,21,1,,21190,2060,23250,NO,-119.69451127750513,36.87266718173742
SF K,02213,San Francisco,4.16,5,,2620,4610,7230,NO,-122.4838239209022,37.77662104706635
CRESCENT MILLS,10313,North Valley,21,1,,0,0,0,NO,-120.9108817762084,40.09391772334674
RICHMOND Q,01252,East Bay,4.16,2,,430,80,510,NO,-122.33656174158853,37.92469700335236
SOLEDAD,18205,Central Coast,21,3,,2745,3120,5865,NO,-121.3324241495369,36.42977626821583
BIG RIVER,04308,Humboldt,12,1,1,1867,6636,8503,NO,-123.78666920979292,39.31134527209194
SAN BRUNO,02270,Peninsula,4.16,1,1,611,642,1253,NO,-122.42531311330475,37.62096289057508
OAKLAND I,01208,East Bay,4.16,2,,151,186,337,NO,-122.17432143246589,37.74773573727129
BERKELEY T,01266,East Bay,4.16,2,,520,50,570,NO,-122.25905444052576,37.86457393824122
FLORENCE,01269,East Bay,4.16,1,,840,20,860,NO,-122.2202658186114,37.83612012296221
