name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Frogtown,PG&E,pge,SUBSTATION,305719.0,,38.05715279971415,-120.53397105129636,Calaveras County,Unincorporated,95222,CEC,,58,115,38.0571528,-120.5339711,4.264341060245854e-06,True
Melones,WAPA,wapa,SUBSTATION,304398.0,230.0,37.94464659720511,-120.53622116162192,Calaveras County,Unincorporated,95222,CEC,H2,59,230,37.9446466,-120.5362212,3.379650120323432e-06,True
Murphy,PG&E,pge,SUBSTATION,308813.0,115.0,38.14698707252699,-120.44641944391417,Calaveras County,Unincorporated,95247,CEC,,60,115,38.14698707,-120.4464194,3.850424054255994e-06,True
North Branch,PG&E,pge,SUBSTATION,307819.0,60.0,38.199746990435486,-120.71934800041429,Calaveras County,Unincorporated,95249,CEC,,61,66,38.19974699,-120.719348,6.0460407667514e-08,True
Valley Springs,PG&E,pge,SUBSTATION,303253.0,,38.21658505767753,-120.76401047642304,Calaveras County,Unincorporated,95252,CEC,,8028,230,38.21655716,-120.7640145,0.00312193261876699,True
Arbuckle,PG&E,pge,SUBSTATION,303681.0,60.0,39.01747967888832,-122.06139482465692,Colusa County,Unincorporated,95912,CEC,,62,66,39.01747968,-122.0613948,2.1337759821626737e-06,True
Colusa,PG&E,pge,SUBSTATION,306707.0,60.0,39.21353467336371,-122.00255032128622,Colusa County,Colusa,95932,CEC,,63,66,39.21353467,-122.0025503,1.8716325278128661e-06,True
Cortina,PG&E,pge,SUBSTATION,300004.0,,39.12054473540145,-122.22333491105772,Colusa County,Unincorporated,95987,CEC,66X,7810,115,39.12052808,-122.2233561,0.0026021440518842905,True
Drake,PG&E,pge,SUBSTATION,302981.0,60.0,38.969822765902975,-122.04333217073216,Colusa County,Unincorporated,95912,CEC,,64,66,38.96982277,-122.0433322,2.570935296751873e-06,True
Harrington,PG&E,pge,SUBSTATION,307397.0,60.0,38.96922396253317,-122.07046838073256,Colusa County,Unincorporated,95912,CEC,,65,66,38.96922396,-122.0704684,1.6893622808392613e-06,True
Maxwell,PG&E,pge,SUBSTATION,306085.0,60.0,39.27695996315382,-122.15328887379604,Colusa County,Unincorporated,95955,CEC,,66,66,39.27695996,-122.1532889,2.2826184114703705e-06,True
Rice,PG&E,pge,SUBSTATION,304472.0,60.0,39.402747176055385,-122.0132646948227,Colusa County,Unincorporated,95970,CEC,,67,66,39.40274718,-122.0132647,6.247134925483234e-07,True
Williams,PG&E,pge,SUBSTATION,301442.0,60.0,39.15748765308179,-122.14771205348706,Colusa County,Williams,95987,CEC,,68,66,39.15748765,-122.1477121,4.025055572376209e-06,True
Etiwanda,SCE,sce,SUBSTATION,303308.0,,34.08917006316914,-117.52704644758376,San Bernardino County,Rancho Cucamonga,91739,CEC,,7831,66,34.0891736,-117.527047,0.00039655409661516484,True
Stadium,SCE,sce,SUBSTATION,307039.0,,33.77133254866984,-118.1002474100538,Los Angeles County,Long Beach,90803,CEC,,8114,66,33.77135575,-118.1002338,0.0028702459538270443,True
Alhambra,PG&E,pge,SUBSTATION,309944.0,115.0,37.9939232223922,-122.13011557123694,Contra Costa County,Martinez,94553,CEC,,69,115,37.99392322,-122.1301156,2.534505348728273e-06,True
Byron Bethany,PG&E,pge,SUBSTATION,308431.0,60.0,37.81698935517064,-121.587145694383,Contra Costa County,Unincorporated,94514,CEC,,70,66,37.81698936,-121.5871457,7.292563265094973e-07,True
Du Pont,Other,other,SUBSTATION,303848.0,60.0,38.01132998942654,-121.74877102118512,Contra Costa County,Oakley,94561,CEC,,71,66,38.01132999,-121.748771,1.8571072559409606e-06,True
Los Vaqueros,Other,other,SUBSTATION,301537.0,,37.88699377080378,-121.57692772411878,Contra Costa County,Unincorporated,94505,CEC,,72,66,37.88699377,-121.5769277,2.1184938390748734e-06,True
GWF 3,Other,other,SUBSTATION,307155.0,230.0,38.01183098098751,-121.7811308415124,Contra Costa County,Antioch,94509,CEC,,1504,66,38.01284457,-121.7863208,0.4684426370355994,True
GWF 4,PG&E,pge,SUBSTATION,302041.0,60.0,38.01049964693561,-121.75626962499425,Contra Costa County,Antioch,94509,CEC,,73,66,38.01049965,-121.7562696,2.2161053597789077e-06,True
