bus_i,kV,Type,Import,Lat,Lon,nearest_basin_name,nearest_basin_owner,nearest_basin_type,nearest_basin_lat,nearest_basin_lon,dist_km,matched
159,66,Substation,' ',40.87793436,-123.9946333,Ultra Power,pge,SUBSTATION,40.877934364674815,-123.99463325830364,3.5439575717787403e-06,True
160,66,Substation,' ',40.86708117,-124.0884243,Arcata,pge,SUBSTATION,40.86708117110176,-124.08842427813433,1.8427373835443054e-06,True
161,66,Substation,' ',41.16271474,-124.1020064,Big Lagoon,pge,SUBSTATION,41.162714744863706,-124.10200637028775,2.54539869809863e-06,True
162,66,Substation,' ',40.90584397,-124.0343692,Blue Chip Milling,other,SUBSTATION,40.905843965098654,-124.03436919741873,5.865907380858702e-07,True
163,66,Substation,' ',40.8798343,-123.9805907,Blue Lake,pge,SUBSTATION,40.87983429974335,-123.98059072697896,2.268373767993582e-06,True
164,115,Substation,' ',40.47964597,-123.7803098,Bridgeville,pge,SUBSTATION,40.47964597017619,-123.78030981845563,1.5610812506260545e-06,True
165,66,Substation,' ',40.80046704,-124.1962938,Fairhaven,pge,SUBSTATION,40.80046703945119,-124.19629383745486,3.1532931022218952e-06,True
166,66,Substation,' ',40.21377701,-123.5963844,Fort Seward,pge,SUBSTATION,40.21377701409556,-123.59638439474168,6.377756181475995e-07,True
167,66,Substation,' ',40.28584174,-123.8373077,Fruitland,pge,SUBSTATION,40.28584174156862,-123.8373077081287,7.112180874597783e-07,True
168,66,Substation,' ',40.10300786,-123.7928774,Garberville,pge,SUBSTATION,40.10300785982294,-123.79287741477847,1.2570861402887276e-06,True
169,66,Substation,' ',40.78091459,-124.1318534,Harris,pge,SUBSTATION,40.780914589124485,-124.13185342405006,2.0273105089622015e-06,True
170,66,Substation,' ',40.74032526,-124.2096559,Humboldt Bay,pge,SUBSTATION,40.7403252642439,-124.20965592244193,1.9487239775468145e-06,True
171,66,Substation,' ',40.90513782,-124.072347,Janes Creek,pge,SUBSTATION,40.90513782437269,-124.07234698514996,1.3393737368299558e-06,True
172,66,Substation,' ',40.86575137,-124.1523425,Sierra Pacific Lumber,other,SUBSTATION,40.86575136938922,-124.1523425158373,1.3334986456466826e-06,True
173,66,Substation,' ',40.59459298,-124.1352072,Newburg,pge,SUBSTATION,40.59459298156031,-124.1352072063305,5.619641903175505e-07,True
174,230,Substation,' ',37.80116,-121.641651,Windmaster,other,SUBSTATION,37.80116000097159,-121.64165101665944,1.4676775498053415e-06,True
175,66,Substation,' ',40.48092347,-124.1040001,Pacific Lumber,other,SUBSTATION,40.48092346557348,-124.1040000660817,2.91063847505475e-06,True
176,66,Substation,' ',40.72891925,-123.6697785,Ridge Cabin,pge,,40.72891925469917,-123.66977850927016,9.397935796178735e-07,True
177,66,Substation,' ',40.49538982,-124.0992681,Rio Dell,pge,SUBSTATION,40.49538981817036,-124.09926805925724,3.451172194153819e-06,True
178,66,Substation,' ',40.82049761,-123.8282375,Russ Ranch,pge,SUBSTATION,40.82049761112737,-123.8282375459324,3.867152479039542e-06,True
179,66,Substation,' ',37.73329501,-121.120652,Mrip,other,SUBSTATION,37.73329500638687,-121.12065202331873,2.0896470716048637e-06,True
180,66,Substation,' ',41.06473688,-124.1284232,Trinidad,pge,SUBSTATION,41.06473688164412,-124.128423239171,3.2890794051851107e-06,True
181,115,Substation,' ',32.99897909,-115.5188889,Alamorio,iid,SUBSTATION,32.99897909227542,-115.5188889219392,2.0615676258434086e-06,True
