substation,n_feeders,division,voltages,total_res_cust,total_com_cust,redacted_any,lat,lon,our_pge_idx,our_pge_match,our_pge_name,our_pge_voltage_kv,basin_matched,basin_name,cats_dist_km,cats_matched,cats_kv
CLAY,3,Stockton,12.0,2936,337,Yes,38.34219061191322,-120.93498037585024,32,exact,CLAY,12.0,True,Clay,2.1168739698279115e-06,True,66.0
CLAYTON,10,Diablo,12.0;21.0,29281,1459,No,37.94410025199704,-121.96910714862464,555,exact,CLAYTON,21.0,True,Clayton,4.269652106167335e-06,True,115.0
CLEAR LAKE,2,Humboldt,12.0,2959,759,No,39.00776750858565,-122.89400077129945,149,exact,CLEAR LAKE,12.0,True,Clear Lake,2.4848596287291334e-06,True,66.0
CLOVERDALE,2,Sonoma,12.0,4546,457,Yes,38.797151570512106,-123.01028683646923,64,exact,CLOVERDALE,12.0,True,Cloverdale,13.153673462376513,False,66.0
CLOVIS,11,Fresno,12.0;21.0,21698,2302,Yes,36.8261981070358,-119.68125380958496,378,exact,CLOVIS,12.0,True,Clovis,5.399824915502877,False,115.0
COALINGA NO 1,4,Fresno,12.0,4862,447,Yes,,,571,exact,COALINGA NO 1,12.0,False,,,False,
COALINGA NO 2,3,Fresno,12.0,133,158,Yes,,,107,exact,COALINGA NO 2,12.0,False,,,False,
COARSEGOLD,3,Yosemite,21.0,7452,522,No,37.22747610662805,-119.69074521540252,113,exact,COARSEGOLD,21.0,True,Coarsegold,1.4143103526763433e-06,True,115.0
COLONY,2,Stockton,12.0,805,66,No,38.1902244358813,-121.1818846468171,358,exact,COLONY,12.0,True,Colony,4.1171336440185394e-06,True,66.0
COLUMBIA HILL,1,Sierra,12.0,1032,117,No,39.33184021378099,-121.10135032722202,212,exact,COLUMBIA HILL,12.0,True,Columbia Hill,2.378759924913578e-06,True,66.0
COLUMBUS,6,Kern,12.0,10422,434,Yes,35.398405555376186,-118.93988055546694,399,exact,COLUMBUS,12.0,True,Columbus,0.0007325779170061156,True,115.0
COLUSA,4,Sacramento,12.0,2366,516,No,39.21353467336371,-122.00255032128622,219,exact,COLUSA,12.0,True,Colusa,1.8716325278128661e-06,True,66.0
COLUSA JUNCTION,1,Sacramento,12.0,825,99,No,39.1911088675894,-121.99045724860068,425,exact,COLUSA JUNCTION,12.0,True,Colusa Junction,4.19701395019132e-06,True,66.0
CONCORD NO 1,2,Diablo,4.16,1272,68,No,,,326,exact,CONCORD NO 1,4.16,False,,,False,
CONTRA COSTA,13,Diablo,21.0,41747,2426,Yes,37.99955467869259,-121.78282309756756,295,exact,CONTRA COSTA,21.0,True,Contra Costa,0.0023772843818806754,True,230.0
COPPERMINE,3,Fresno,12.0,3742,188,No,36.89581265313488,-119.6647063893895,276,exact,COPPERMINE,12.0,True,Coppermine,1.005878452155773e-06,True,66.0
COPUS,3,Kern,12.0,19,44,Yes,35.09339007164383,-119.27893651119976,298,exact,COPUS,12.0,True,Copus,1.0352366174594027e-06,True,66.0
CORCORAN,6,Fresno,12.0,4890,489,Yes,36.10940094533666,-119.55719266405735,130,exact,CORCORAN,12.0,True,Corcoran,3.270229661793796e-06,True,115.0
CORDELIA,3,North Bay,12.0,3311,440,Yes,38.2159399396576,-122.11240115884928,-1,unmatched,,,True,Cordelia,2.6422150802871043,False,115.0
CORNING,4,North Valley,12.0,7001,839,Yes,39.932431514275535,-122.18758967583248,653,exact,CORNING,12.0,True,Corning,2.1147621675383662e-06,True,66.0
CORONA,3,Sonoma,12.0,4940,878,Yes,38.26501270479249,-122.65736853423064,460,exact,CORONA,12.0,True,Corona,0.0045964732341320005,True,66.0
CORRAL,3,Stockton,12.0,5092,274,No,38.101480653393175,-120.92617586661036,354,exact,CORRAL,12.0,True,Corral,2.9459026175534315e-06,True,66.0
CORTINA,1,Sacramento,12.0,85,63,No,39.12054473540145,-122.22333491105772,-1,unmatched,,,True,Cortina,0.0026021440518842905,True,115.0
COTATI,4,Sonoma,12.0,10009,927,No,38.30955900237303,-122.73164799441626,639,exact,COTATI,12.0,True,Cotati,5.540580519823115e-07,True,66.0
COTTLE,6,Yosemite,17.0,9319,1259,No,37.77265674847956,-120.82645877775784,478,exact,COTTLE,17.0,True,Cottle,2.928493631270378,False,115.0
COTTONWOOD,3,North Valley,12.0,5794,419,No,40.39788002258034,-122.26422492870724,531,exact,COTTONWOOD,12.0,True,Cottonwood,0.0009679001965768884,True,230.0
COUNTRY CLUB,9,Stockton,12.0;4.16,9020,499,Yes,37.97921028718587,-121.31639202851346,576,exact,COUNTRY CLUB,12.0,True,Country Club,2.518651938221192e-06,True,66.0
COVELO,1,Humboldt,12.0,1101,200,No,39.78611627594674,-123.24854696006476,153,exact,COVELO,12.0,True,Covelo,3.4419619783134845e-06,True,66.0
CRESSEY,2,Yosemite,21.0,780,153,Yes,37.4284695169969,-120.63852774445644,67,exact,CRESSEY,21.0,True,Cressey,3.939739454684127e-06,True,115.0
CRESTA PH,1,North Valley,12.0,2,5,Yes,,,288,exact,CRESTA PH,12.0,False,,,False,
CROWS LANDING,2,Yosemite,12.0,74,32,Yes,37.37738332848153,-121.08590273598206,585,exact,CROWS LANDING,12.0,True,Crows Landing,3.1839089259819062e-06,True,66.0
CURTIS,5,Yosemite,17.0,15094,2218,Yes,37.9744325633102,-120.31990681792604,423,exact,CURTIS,17.0,True,Curtis,1.6138153148586568e-06,True,115.0
CUYAMA,4,Kern,12.0;21.0,458,136,Yes,34.927605555832194,-119.62134166579372,484,exact,CUYAMA,21.0,True,Cuyama,3.152700246214326e-06,True,66.0
DAIRYLAND,7,Yosemite,12.0,756,197,Yes,37.054915448421376,-120.31674289512644,236,exact,DAIRYLAND,12.0,True,Dairyland,4.667447998468565e-07,True,115.0
DAIRYVILLE,1,North Valley,12.0,518,73,No,40.12802358226514,-122.09835630796664,368,exact,DAIRYVILLE,12.0,True,Dairyville,7.226407128535123e-07,True,66.0
DALY CITY,13,Peninsula,12.0;4.16,53644,2389,Yes,37.6916795472424,-122.45593791212416,497,exact,DALY CITY,12.0,True,Daly City,1.1099978854459616e-06,True,115.0
DAVIS,12,Sacramento,12.0,30330,2035,No,,,245,exact,DAVIS,12.0,False,,,False,
DAYTON ROAD,1,North Valley,4.16,400,50,No,39.719727027619335,-121.83933629287388,87,exact,DAYTON ROAD,4.16,True,Dayton Road,6.644941697190274e-07,True,115.0
DEEPWATER,6,Sacramento,12.0,10118,641,Yes,38.55156818452924,-121.56001216502244,38,exact,DEEPWATER,12.0,True,Deepwater,1.9340089570981627,True,66.0
DEL MAR,6,Sierra,12.0;21.0,13464,918,No,38.79881551672975,-121.2213126039165,299,exact,DEL MAR,21.0,True,Del Mar,4.974188196866377e-07,True,66.0
DEL MONTE,5,Central Coast,12.0;21.0,20411,3255,No,36.59823782593487,-121.8530361578862,135,exact,DEL MONTE,21.0,True,Del Monte,0.003269238684247368,True,66.0
