model,segment,value,n,rmse,mae,r2,wape
linear,month,9,2496,35.77213990181366,5.957990987658743,0.5253020186120922,0.23983265590914415
linear,month,10,2496,17.543218725952304,3.4035621415087953,0.5972858069355447,0.19640841878785528
linear,month,11,2496,14.015434970961694,2.8729945653335682,0.7002667852470608,0.1822701387849578
linear,month,12,2496,13.64762027337644,2.789630501927769,0.7231074826842583,0.17318493160858958
linear,hour,0,1248,16.568641739725603,2.9036730017827543,0.7312413450652879,0.17276132071827272
linear,hour,1,1248,18.617707901104406,3.0117203540353628,0.5847284545302905,0.19220918579336488
linear,hour,2,1248,15.982269568041946,2.8232269607513722,0.6506500730630552,0.19258311472000958
linear,hour,3,1248,19.478787855487422,3.345902555884321,0.4312500285899469,0.2274483357509377
linear,hour,4,1248,14.06871439354736,2.7326793416382724,0.6774469506402732,0.1866488098245865
linear,hour,5,1248,18.089463917561023,3.441540976678225,0.421059750590702,0.22415952741588102
linear,hour,6,1248,14.058367262711679,2.8347195275808095,0.7358226778838997,0.17271809691229523
linear,hour,7,1248,16.92263893907722,3.3253238886932186,0.43441573996929916,0.20506398793329303
linear,hour,8,1248,15.537488189660227,3.2811346751893664,0.602845427195204,0.1945294610782745
linear,hour,9,1248,13.93025262092315,3.0354866439841546,0.7063179118692423,0.18112100199138456
linear,hour,10,1248,21.394534090601432,3.6014502126172125,0.6116804944778884,0.20596292687121837
linear,hour,11,1248,20.39463142682426,3.5137795674203423,0.6294508077719079,0.19531728422625394
linear,hour,12,1248,19.24378448783101,3.578568121832266,0.3415322262289281,0.20441892107042064
linear,hour,13,1248,22.19700211864092,3.914194165708674,0.6602726085652506,0.20323674470849326
linear,hour,14,1248,24.879144768286107,4.034800347779427,0.560598514424774,0.2009700495179693
linear,hour,15,1248,26.71787705917706,4.4061828624529555,0.6059419427697461,0.21187407117210125
linear,hour,16,1248,25.651835300305923,4.461575229071109,0.6931783955161872,0.19987585262729282
linear,hour,17,1248,24.35689238914781,4.485090119143016,0.7354150070430217,0.19211942305657442
linear,hour,18,1248,35.57788010562585,5.144351598139746,0.46290903157550967,0.2231161630892901
linear,hour,19,1248,26.69135551524719,4.296737366260465,0.6491707279537924,0.1909341213219335
linear,hour,20,1248,21.82139657868446,4.046971055951306,0.7157500405322698,0.1846454013755066
linear,hour,21,1248,29.08376346304942,4.479894696719285,0.5482531868348637,0.21518198169072164
linear,hour,22,1248,23.3620117376358,4.11444384941974,0.6659509035618412,0.20673814837628354
linear,hour,23,1248,22.22331894739401,3.8708672105211086,0.12425946537382004,0.23099374131265157
linear,utility,pge,15264,1.1647266351333512,0.7227220622828044,0.9933282665198125,0.06269003018590359
linear,utility,sce,12672,33.41844151097993,7.654867802210371,0.5444663850582663,0.32169107268659
linear,utility,sdge,2016,1.7599907147875897,1.3114632612178034,0.9875295595372577,0.03577803989981424
linear,sub_kv_class,66.0,17568,7.4762482036144275,2.1374477832403853,0.8388139478589287,0.15204251672475344
linear,sub_kv_class,115.0,8928,38.440409054004384,7.866403522287465,0.5341007389940748,0.27610133336926085
linear,sub_kv_class,230.0,1728,1.337765654825276,1.0178180721965935,0.9904342757999848,0.040539538205867934
linear,sub_kv_class,500.0,288,1.7055546646349509,1.5870608036074718,0.022479557148893714,0.16762181485020683
ridge,month,1,2496,12.204450645250168,2.7542692728471834,0.7721844528339149,0.17574202412926196
ridge,month,2,2496,17.39390514685432,3.307744039733567,0.6424960022633144,0.20008904247675433
ridge,month,3,2496,15.888347983192505,3.0737218058637157,0.6963039660613088,0.1903978590670074
ridge,month,4,2496,17.766160429774235,3.329106352768175,0.5114491193235963,0.2167338500872187
ridge,month,5,2496,15.257195536897225,2.926775518004836,0.7123492361753024,0.17010256800249846
ridge,month,6,2496,22.399944942503424,3.9876187043071947,0.6804731328324765,0.1984471775209997
ridge,month,7,2496,25.309261964006385,4.431185572048215,0.6893209382251986,0.2004834105862533
ridge,month,8,2496,36.26564473647575,5.562331034076541,0.4195407615326493,0.2340551089111826
ridge,month,9,2496,35.779097911379736,5.968326039801259,0.5251173344231166,0.24024868255460796
ridge,month,10,2496,17.535825575533913,3.414849426257899,0.5976251630470495,0.19705977100585736
ridge,month,11,2496,14.01097743452901,2.8813219579496336,0.7004574121184023,0.18279844991584598
ridge,month,12,2496,13.66099344883081,2.794799113918919,0.7225645680403603,0.17350580769364105
ridge,hour,0,1248,16.56604035425855,2.899996300326628,0.7313257321846318,0.17254256612742958
ridge,hour,1,1248,18.606419321244125,3.006368933228388,0.5852318897363469,0.1918676559980211
ridge,hour,2,1248,15.987770825559986,2.820076368586936,0.6504095321728864,0.192368200772008
ridge,hour,3,1248,19.467644269628178,3.3492837026128086,0.4319005928101356,0.22767817992107703
ridge,hour,4,1248,14.071708884397458,2.7321690106852197,0.677309626799478,0.18661395294857017
ridge,hour,5,1248,18.088059965995168,3.4335896083702084,0.4211496120185366,0.22364162715715596
ridge,hour,6,1248,14.030813860737831,2.8233664258028988,0.7368572006939544,0.17202635788342355
ridge,hour,7,1248,16.936015135723032,3.3152172517119514,0.43352127471913515,0.2044407381827891
ridge,hour,8,1248,15.541199601708716,3.279329202001961,0.6026556693276504,0.19442241953292347
ridge,hour,9,1248,13.942419778244766,3.0447256578651523,0.7058046639366036,0.1816722742082645
ridge,hour,10,1248,21.36752228060035,3.6175946970424753,0.6126604261787777,0.20688621195604465
ridge,hour,11,1248,20.37479443154224,3.5340942983840145,0.6301712922586197,0.1964465007879304
ridge,hour,12,1248,19.282037573499423,3.602492135312514,0.3389117999670326,0.20578553499442848
ridge,hour,13,1248,22.198953684128178,3.933428421919557,0.6602128681197416,0.20423544519541234
