name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Mariposa - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.62723697,-120.93488202,Stanislaus County,"Modesto, CA",Operational,PGE GBA,304582.0
Quartz Hill - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION ASSUMED,substation,False,230.0,40.63484414,-122.42085261,Shasta County,,Operational,PGE NGBA,
Shiloh IV,PG&E,pge,SUBSTATION,substation,False,230.0,38.1248162,-121.83180154,Solano County,,Operational,PGE GBA,309472.0
Walnut - (PG&E GBA),PG&E GBA,pge,SUBSTATION,substation,False,230.0,37.49031745,-120.90708394,Stanislaus County,,Operational,PGE GBA,310029.0
PGE BOTTLE ROCK 230kV,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,38.842615,-122.7639866,Lake,Cobb,,PGE NGBA,
Monta Vista,PG&E,pge,SUBSTATION,substation,False,230.0,37.32391007,-122.07313689,Santa Clara County,Cupertino,Operational,PGE GBA,308542.0
Burney Forest Power,PG&E,pge,SUBSTATION,substation,False,230.0,40.87795875,-121.71509148,Shasta County,,Operational,PGE NGBA,304233.0
Westley - (Other),PG&E,pge,SUBSTATION,substation,False,230.0,37.51693802,-121.23112332,Stanislaus County,,Operational,PGE Fresno,302934.0
Warnerville,PG&E,pge,SUBSTATION,substation,False,230.0,37.74197461,-120.80244785,Stanislaus County,,Operational,PGE GBA,302801.0
Stanislaus Resource Recovery Facility,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.38596444,-121.14070092,Stanislaus County,,Operational,PGE Fresno,303907.0
Rio Oso,PG&E,pge,SUBSTATION,substation,False,230.0,38.93517384,-121.46682974,Sutter County,,Operational,PGE NGBA,304864.0
New Colgate,PG&E,pge,SUBSTATION,substation,False,230.0,39.33096262,-121.19149152,Yuba County,,Operational,PGE NGBA,309538.0
Potrero - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.75609912,-122.38645941,San Francisco County,San Francisco,Operational,PGE GBA,305050.0
Altamont,PG&E,pge,SUBSTATION,substation,False,230.0,37.74837151,-121.67719524,Alameda County,,Operational,PGE GBA,306256.0
Eastshore,PG&E,pge,SUBSTATION,substation,False,230.0,37.62507363,-122.11659806,Alameda County,Hayward,Operational,PGE GBA,301389.0
Ravenswood,PG&E,pge,SUBSTATION,substation,False,230.0,37.49296318,-122.13793301,San Mateo County,Menlo Park,Operational,PGE GBA,308197.0
Palermo,PG&E,pge,SUBSTATION,substation,False,230.0,39.4543379,-121.51764826,Butte County,Palermo,Operational,PGE NGBA,307680.0
Valley Springs - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,38.21657995,-120.76399746,Calaveras County,Valley Springs,Operational,PGE GBA,303253.0
Helm,PG&E,pge,SUBSTATION,substation,False,230.0,36.59141844,-120.17618603,Fresno County,,Operational,PGE Fresno,303306.0
Herndon,PG&E,pge,SUBSTATION,substation,False,230.0,36.84471282,-119.922122,Fresno County,Fresno,Operational,PGE Fresno,302888.0
Windmaster,PG&E,pge,SUBSTATION,substation,False,230.0,37.801155,-121.64163792,Contra Costa County,,Operational,PGE GBA,303676.0
Arco - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,35.77551746,-119.91359121,Kern County,,Operational,PGE Kern,306367.0
Dos Amigos,PG&E,pge,SUBSTATION,substation,False,230.0,36.92520625,-120.8297205,Merced County,,Operational,PGE Fresno,307590.0
Coburn,PG&E,pge,SUBSTATION,substation,False,230.0,36.26513395,-121.14582401,Monterey County,,Operational,PGE GBA,307786.0
Atlantic,PG&E,pge,SUBSTATION,substation,False,230.0,38.76362248,-121.26401909,Placer County,Roseville,Operational,PGE NGBA,300087.0
