name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Amherst,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.76773517,-117.04014257,San Diego County,,,SDGE Imperial,
Sewage Pumping Station #2,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.72972015,-117.20813316,San Diego County,,,SDGE Imperial,
South San Clemente,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.41737171,-117.60307073,Orange County,,,SCE Metro,
Ramona - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.04122018,-116.87062686,San Diego County,,,SDGE Imperial,
Yerba Santa,SDG&E,sdge,SUBSTATION,substation,False,12.0,32.77393988,-117.09126664,San Diego County,,,SDGE Imperial,
Temecula,SDG&E,sdge,SUBSTATION,substation,False,12.0,33.4305192,-117.08903653,Riverside County,,,SDGE Imperial,
Birch,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.6861921,-117.10765832,San Diego County,,,SDGE Imperial,
Highland 1,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.69364477,-117.10203042,San Diego County,,,SDGE Imperial,
Las Palmas - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.66462784,-117.09251505,San Diego County,,,SDGE Imperial,
Flower,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.64609144,-117.09076121,San Diego County,,,SDGE Imperial,
North Otay 1,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.61686311,-117.07465052,San Diego County,,,SDGE Imperial,
North Otay 2,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.61670721,-117.07458873,San Diego County,,,SDGE Imperial,
North Otay 3,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.61660679,-117.07454928,San Diego County,,,SDGE Imperial,
Flintridge,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.67867849,-117.0693864,San Diego County,,,SDGE Imperial,
Reo,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.67937289,-117.06715662,San Diego County,,,SDGE Imperial,
El Rancho Vista,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.63918556,-117.06491543,San Diego County,,,SDGE Imperial,
Fairmount 2,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.7631008,-117.09670633,San Diego County,,,SDGE Imperial,
Monroe 3,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.76297656,-117.10828765,San Diego County,,,SDGE Imperial,
Linda Vista 2,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.79110706,-117.16387378,San Diego County,,,SDGE Imperial,
Sampson 1,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.69625537,-117.14120028,San Diego County,,,SDGE Imperial,
Sampson 2,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.69635004,-117.14111032,San Diego County,,,SDGE Imperial,
Upas 2,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.74121931,-117.12949869,San Diego County,,,SDGE Imperial,
Volta,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.77655218,-117.16504862,San Diego County,,,SDGE Imperial,
Hillcrest 3,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.74677582,-117.16458695,San Diego County,,,SDGE Imperial,
Hillcrest 4,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.74677795,-117.16448439,San Diego County,,,SDGE Imperial,
Jennings,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.71876607,-117.23932609,San Diego County,,,SDGE Imperial,
Lindbergh,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.7277105,-117.18076369,San Diego County,,,SDGE Imperial,
Station C 14,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.71965347,-117.16165627,San Diego County,,,SDGE Imperial,
Bramson,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.75433113,-117.12242381,San Diego County,,,SDGE Imperial,
Del Rio,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.743987,-116.96832208,San Diego County,,,SDGE Imperial,
Campo Road,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.75181916,-117.00121685,San Diego County,,,SDGE Imperial,
Chollas 1,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.74413169,-117.04585748,San Diego County,,,SDGE Imperial,
Chollas 2,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.7441317,-117.04570984,San Diego County,,,SDGE Imperial,
Downtown,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.70834172,-117.1484079,San Diego County,,,SDGE Imperial,
Wabash 2,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.72978821,-117.1299119,San Diego County,,,SDGE Imperial,
Station C 17,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.71965235,-117.16152688,San Diego County,,,SDGE Imperial,
Harbor 5,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.71510872,-117.16843731,San Diego County,,,SDGE Imperial,
Kramer - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.77700849,-117.17037537,San Diego County,,,SDGE Imperial,
Highland 3,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.69379943,-117.11220538,San Diego County,,,SDGE Imperial,
Upas,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.74143502,-117.12950206,San Diego County,,,SDGE Imperial,
Salt Works,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.60114775,-117.09256773,San Diego County,,,SDGE Imperial,
Park,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.73114795,-117.14555774,San Diego County,,,SDGE Imperial,
Fairmount 3,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.76319836,-117.09670496,San Diego County,,,SDGE Imperial,
Fairmount 1,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.76300396,-117.0967076,San Diego County,,,SDGE Imperial,
Whitney - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.63149031,-117.07357147,San Diego County,,,SDGE Imperial,
Middletown 3,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.73147533,-117.16999358,San Diego County,,,SDGE Imperial,
Middletown 1,SDG&E,sdge,SUBSTATION,substation,False,4.0,32.73145837,-117.17004819,San Diego County,,,SDGE Imperial,
Quivira Basin,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.76234491,-117.23195928,San Diego County,,,SDGE Imperial,
Old Town 2,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.77296647,-117.20322443,San Diego County,,,SDGE Imperial,
La Jolla 4,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.83922661,-117.27410654,San Diego County,,,SDGE Imperial,
La Jolla 3,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.83948008,-117.27418856,San Diego County,,,SDGE Imperial,
Bird Rock 4,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.81313915,-117.26864406,San Diego County,,,SDGE Imperial,
Bird Rock 2,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.81316606,-117.26852515,San Diego County,,,SDGE Imperial,
Bird Rock 1,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.81319266,-117.2684073,San Diego County,,,SDGE Imperial,
Cardiff 1,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.023799,-117.2803332,San Diego County,,,SDGE Imperial,
Seaview,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.9614373,-117.26511417,San Diego County,,,SDGE Imperial,
