name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
cayetano,37.7386049986163,-121.77116328727968,Cayetano,37.73836825979488,-121.77069648385788,CAYETANO,0.04876375622986856
cayucos,35.448703299598,-120.87035972373032,Cayucos,35.44897550448366,-120.87040792910972,CAYUCOS,0.030581154372258747
cedar creek,40.79121365415692,-121.93778829102152,Cedar Creek,40.79097149681122,-121.9383470502897,CEDAR CREEK,0.054200950129284546
challenge,39.48525925803122,-121.22031867914004,Challenge,39.48563129002225,-121.22014874811364,CHALLENGE,0.04386329551237407
channel,37.95525900058912,-121.33259399642591,Channel,37.95540129864133,-121.33245614324008,CHANNEL,0.01991089171809423
charca,35.60807500748761,-119.32531387859125,Charca,35.608124985119254,-119.32533697812512,CHARCA,0.005936669031083179
cherokee,38.00551198513393,-121.23800900755306,Cherokee,38.00576000998228,-121.23810008766183,CHEROKEE,0.02871042857418226
chester,40.30242578830534,-121.22702068809072,Chester,40.30286123740071,-121.22690255646653,CHESTER,0.0494451761053213
chico a,39.71884015875547,-121.82092062359636,Chico A,39.71896295197578,-121.82083893681968,CHICO A,0.015337688493529452
chico b,39.72551493360511,-121.84707580851182,Chico B,39.7253212399454,-121.846804015902,CHICO B,0.03168860049699668
chowchilla,37.12056168878955,-120.25058468607872,Chowchilla,37.12083563007519,-120.25043505532854,CHOWCHILLA,0.03322455574462069
clark road,39.65452133080093,-121.63550822129932,Clark Road,39.65482672818301,-121.63548123647666,CLARK ROAD,0.03403712710270928
clarksville,38.65571788293646,-121.0595437331988,Clarksville,38.6556481194856,-121.05997890956418,CLARKSVILLE,0.038575973317787164
clay,38.34219061191322,-120.93498037585024,Clay,38.34223678954548,-120.93502517926262,CLAY,0.006452378930671399
clayton,37.94410025199704,-121.96910714862464,Clayton,37.94428985556829,-121.96926364911442,CLAYTON,0.025155989065767142
clear lake,39.00776750858565,-122.89400077129945,Clear Lake,39.007758745598494,-122.89345093801266,CLEAR LAKE,0.04751844985162707
cloverdale,38.797151570512106,-123.01028683646923,Cloverdale,38.79708983960812,-123.01056995209038,CLOVERDALE,0.025477439757754718
clovis,36.8261981070358,-119.68125380958496,Clovis,36.82632258904477,-119.68092161392016,CLOVIS,0.03264721148215305
coarsegold,37.22747610662805,-119.69074521540252,Coarsegold,37.22741691128599,-119.690552055026,COARSEGOLD,0.018324964886834907
colony,38.1902244358813,-121.1818846468171,Colony,38.19050048956095,-121.18105263498548,COLONY,0.07892713257903809
columbia hill,39.33184021378099,-121.10135032722202,Columbia Hill,39.3315648176399,-121.10125373763962,COLUMBIA HILL,0.031729501860120794
columbus,35.398405555376186,-118.93988055546694,Columbus,35.39851810200948,-118.93981268255826,COLUMBUS,0.013944982099695942
colusa,39.21353467336371,-122.00255032128622,Colusa,39.213661583558526,-122.00306856656788,COLUSA,0.046825530342162414
colusa junction,39.1911088675894,-121.99045724860068,Colusa Junction,39.19056773290833,-121.99053805724722,COLUSA JUNCTION,0.06057310410332958
contra costa,37.99955467869259,-121.78282309756756,Contra Costa,37.99867901702416,-121.78318387764637,CONTRA COSTA,0.10237248880483871
coppermine,36.89581265313488,-119.6647063893895,Coppermine,36.89631750001298,-119.664718786115,COPPERMINE,0.05614723462817262
copus,35.09339007164383,-119.27893651119976,Copus,35.09340403050877,-119.27870217911948,COPUS,0.021376302345491042
corcoran,36.10940094533666,-119.55719266405735,Corcoran,36.1097291421788,-119.55733517121652,CORCORAN,0.03867412599897731
corning,39.932431514275535,-122.18758967583248,Corning,39.932572768315495,-122.18734884261642,CORNING,0.025852796879883025
corona,38.26501270479249,-122.65736853423064,Corona,38.26512802531959,-122.6571608149265,CORONA,0.022210532426612403
corral,38.101480653393175,-120.92617586661036,Corral,38.10147374789754,-120.92528602571213,CORRAL,0.07786612210361174
cotati,38.30955900237303,-122.73164799441626,Cotati,38.30980554981653,-122.73175577070296,COTATI,0.028982772937690603
cottle,37.77265674847956,-120.82645877775784,Cottle,37.772814224827606,-120.826244610004,COTTLE,0.025709191421117057
cottonwood,40.39788002258034,-122.26422492870724,Cottonwood,40.39732263215315,-122.26727834579738,COTTONWOOD,0.26589452874260305
country club,37.97921028718587,-121.31639202851346,Country Club,37.97960932789654,-121.31570780413264,COUNTRY CLUB,0.07460074681119552
covelo,39.78611627594674,-123.24854696006476,Covelo,39.78636157593041,-123.24873746443508,COVELO,0.0317640730614388
cressey,37.4284695169969,-120.63852774445644,Cressey,37.42859913669553,-120.6384473846346,CRESSEY,0.016065101305524406
crows landing,37.37738332848153,-121.08590273598206,Crows Landing,37.37774567278726,-121.08632626856836,CROWS LANDING,0.054990003328297045
curtis,37.9744325633102,-120.31990681792604,Curtis,37.97431175393948,-120.31978089327473,CURTIS,0.017386411884083644
cuyama,34.927605555832194,-119.62134166579372,Cuyama,34.927616278599906,-119.62029680803812,CUYAMA,0.0952630252807316
dairyland,37.054915448421376,-120.31674289512644,Dairyland,37.055238199109,-120.31690423390413,DAIRYLAND,0.03863867632224282
dairyville,40.12802358226514,-122.09835630796664,Dairyville,40.1280600543476,-122.09824574117305,DAIRYVILLE,0.010237926042344208
daly city,37.6916795472424,-122.45593791212416,Daly City,37.69202059210078,-122.45565658797352,DALY CITY,0.04528636769435364
dayton road,39.719727027619335,-121.83933629287388,Dayton Road,39.72016631724905,-121.83969083882324,DAYTON ROAD,0.057493839674649216
deepwater,38.55156818452924,-121.56001216502244,Deepwater,38.55140495900723,-121.55981764661082,DEEPWATER,0.024810158214395587
del mar,38.79881551672975,-121.2213126039165,Del Mar,38.798905518358,-121.22132249121611,DEL MAR,0.010044337159297135
del monte,36.59823782593487,-121.8530361578862,Del Monte,36.59919530577832,-121.85414882424809,DEL MONTE,0.1456068552166235
deschutes,40.55535283082838,-122.23980477568264,Deschutes,40.55543101923755,-122.23990905392132,DESCHUTES,0.012377423121985044
devils den,35.77500833436411,-119.97378894289916,Devils Den,35.77577482106427,-119.97369007248874,DEVILS DEN,0.08569488745266378
diamond springs,38.69341228610576,-120.82589480729813,Diamond Springs,38.69335810297077,-120.82605011972905,DIAMOND SPRINGS,0.014764461259922668
divide,34.82822558276568,-120.44842243666147,Divide,34.8291272881148,-120.44860259638226,DIVIDE,0.10160460155949515
dixon,38.44525036336403,-121.82601980252832,Dixon,38.44526066389723,-121.82592500657064,DIXON,0.008334679392251177
dixon landing,37.45755414227556,-121.92127798956194,Dixon Landing,37.45705888772975,-121.92097272747756,DIXON LANDING,0.061308208965742836
dobbins,39.33987651538986,-121.1949272411389,Dobbins,39.340076339250025,-121.19541552842642,DOBBINS,0.047507945153061636
dolan road,36.80022812267143,-121.76907061405304,Dolan Road,36.80013119439448,-121.76897719428231,DOLAN ROAD,0.013614330174951311
dos palos,36.97476896390239,-120.63521695745663,Dos Palos,36.97511066443014,-120.63479080838368,DOS PALOS,0.05363531981694289
dumbarton,37.556992018214,-122.05794001685494,Dumbarton,37.55713232904114,-122.05834145293557,DUMBARTON,0.038673139845519074
dunbar,38.383395007654975,-122.52790900424829,Dunbar,38.38374078362537,-122.52780897971554,DUNBAR,0.03942461297428726
dunlap,36.70935277109184,-119.0289555728194,Dunlap,36.70967604208161,-119.0292556541925,DUNLAP,0.0448071638447824
dunnigan,38.92500648397224,-121.9894822376,Dunnigan,38.92506225480307,-121.99011725790068,DUNNIGAN,0.055282108719629235
east grand,37.65381238392636,-122.40316525507636,East Grand,37.65396784266645,-122.40420306125036,EAST GRAND,0.09298392442295259
east marysville,39.163437922321634,-121.56105561499616,East Marysville,39.16342235495069,-121.56120836057298,EAST MARYSVILLE,0.01328220014821378
east nicolaus,38.9097025313182,-121.54249826250768,East Nicolaus,38.90941478613143,-121.54229853496466,EAST NICOLAUS,0.03636453600380316
east quincy,39.93856266293809,-120.91070223131588,East Quincy,39.93825707055911,-120.91057480535616,EAST QUINCY,0.035674751848985546
east stockton,37.96293398993085,-121.26163502109512,East Stockton,37.96312284092296,-121.26093352398566,EAST STOCKTON,0.0649845180336754
edenvale,37.24456359512649,-121.7950653785124,Edenvale,37.24486514436606,-121.79536211168684,EDENVALE,0.04259365259807737
edes,37.7386895431528,-122.19379906549648,Edes,37.738958386689234,-122.19406786917396,EDES,0.038109837683041235
eel river,40.60262281321588,-124.21013282987988,Eel River,40.60254042515516,-124.20988251695042,EEL RIVER,0.02303267222417299
eight mile,38.05886607785135,-121.37690208647813,Eight Mile,38.058406468108736,-121.37663705496492,EIGHT MILE,0.05612741698547023
el capitan,37.3358510420461,-120.5054697961686,El Capitan,37.33595281998132,-120.50540396991832,EL CAPITAN,0.012725878046045077
el nido,37.12063344519221,-120.47269727142356,El Nido,37.12088972778191,-120.47290782246549,EL NIDO,0.03406750278417381
el patio,37.29203239473645,-121.9357659123516,El Patio,37.29163644525506,-121.93561870955156,EL PATIO,0.04591292574064673
el peco,36.88073633628072,-120.16442581399936,El Peco,36.88099449637093,-120.16446451789515,EL PECO,0.028911765373177908
elk,39.12926005444285,-123.7117349541515,Elk,39.129493032948936,-123.71168466277476,ELK,0.026266711688041334
elk creek,39.59291369815601,-122.54291039149912,Elk Creek,39.59327331009217,-122.54352006687898,ELK CREEK,0.06578775158264691
elk hills,35.22606664016438,-119.37660312489945,Elk Hills,35.226241139395945,-119.37663775129045,ELK HILLS,0.019656690739228683
emerald lake,37.46167499319351,-122.27734441979476,Emerald Lake,37.46149299207372,-122.2772794279851,EMERALD LAKE,0.021034873270039927
erta,36.93038172667928,-121.76424019825812,Erta,36.93065412756231,-121.76425096468428,ERTA,0.030304709922172518
esquon,39.60773551464629,-121.76833358384148,Esquon,39.60772314757492,-121.76822648360046,ESQUON,0.009277502799445099
evergreen,37.30332426454305,-121.84011095738254,Evergreen,37.30352178997496,-121.83997139739384,EVERGREEN,0.02519486306190113
fairhaven,40.80046703945119,-124.19629383745486,Fairhaven,40.80053988251958,-124.1961850487832,FAIRHAVEN,0.012225345805044693
fairview,38.01608705182072,-122.11628728147318,Fairview,38.01590927413491,-122.11629244561098,FAIRVIEW,0.019773152696898163
fairway,34.91052314642181,-120.44651258584707,Fairway,34.91060882113302,-120.44608849948852,FAIRWAY,0.03982648630236544
