sub_key,SUBSTATION,YEAR,MONTH,HOUR,MIN_LOAD_bulk,MAX_LOAD_bulk,MIN_LOAD_scrape,MAX_LOAD_scrape,min_diff,max_diff,any_diff
allview,Allview P.T.,2022,11,6,0.24,0.32,,,,,FALSE
allview,Allview P.T.,2022,11,7,0.24,0.33,,,,,FALSE
allview,Allview P.T.,2022,11,8,0.27,0.34,,,,,FALSE
allview,Allview P.T.,2022,11,9,0.28,0.35,,,,,FALSE
allview,Allview P.T.,2022,11,10,0.28,0.37,,,,,FALSE
allview,Allview P.T.,2022,11,11,0.27,0.38,,,,,FALSE
allview,Allview P.T.,2022,11,12,0.26,0.38,,,,,FALSE
allview,Allview P.T.,2022,11,13,0.24,0.38,,,,,FALSE
allview,Allview P.T.,2022,11,14,0.26,0.38,,,,,FALSE
allview,Allview P.T.,2022,11,15,0.27,0.38,,,,,FALSE
allview,Allview P.T.,2022,11,16,0.28,0.39,,,,,FALSE
allview,Allview P.T.,2022,11,17,0.31,0.41,,,,,FALSE
allview,Allview P.T.,2022,11,18,0.34,0.45,,,,,FALSE
allview,Allview P.T.,2022,11,19,0.35,0.43,,,,,FALSE
allview,Allview P.T.,2022,11,20,0.35,0.43,,,,,FALSE
allview,Allview P.T.,2022,11,21,0.34,0.41,,,,,FALSE
allview,Allview P.T.,2022,11,22,0.34,0.41,,,,,FALSE
allview,Allview P.T.,2022,11,23,0.3,0.38,,,,,FALSE
allview,Allview P.T.,2023,0,0,0.26,0.35,,,,,FALSE
allview,Allview P.T.,2023,0,1,0.25,0.33,,,,,FALSE
allview,Allview P.T.,2023,0,2,0.24,0.3,,,,,FALSE
allview,Allview P.T.,2023,0,3,0.24,0.29,,,,,FALSE
allview,Allview P.T.,2023,0,4,0.24,0.29,,,,,FALSE
allview,Allview P.T.,2023,0,5,0.24,0.31,,,,,FALSE
allview,Allview P.T.,2023,0,6,0.25,0.31,,,,,FALSE
allview,Allview P.T.,2023,0,7,0.27,0.35,,,,,FALSE
allview,Allview P.T.,2023,0,8,0.29,0.35,,,,,FALSE
allview,Allview P.T.,2023,0,9,0.28,0.36,,,,,FALSE
allview,Allview P.T.,2023,0,10,0.28,0.38,,,,,FALSE
allview,Allview P.T.,2023,0,11,0.27,0.39,,,,,FALSE
allview,Allview P.T.,2023,0,12,0.26,0.39,,,,,FALSE
allview,Allview P.T.,2023,0,13,0.25,0.39,,,,,FALSE
allview,Allview P.T.,2023,0,14,0.26,0.39,,,,,FALSE
allview,Allview P.T.,2023,0,15,0.26,0.39,,,,,FALSE
allview,Allview P.T.,2023,0,16,0.26,0.41,,,,,FALSE
allview,Allview P.T.,2023,0,17,0.3,0.41,,,,,FALSE
allview,Allview P.T.,2023,0,18,0.34,0.44,,,,,FALSE
allview,Allview P.T.,2023,0,19,0.34,0.44,,,,,FALSE
allview,Allview P.T.,2023,0,20,0.35,0.44,,,,,FALSE
allview,Allview P.T.,2023,0,21,0.34,0.42,,,,,FALSE
allview,Allview P.T.,2023,0,22,0.33,0.4,,,,,FALSE
allview,Allview P.T.,2023,0,23,0.3,0.39,,,,,FALSE
allview,Allview P.T.,2023,1,0,0.25,0.33,,,,,FALSE
allview,Allview P.T.,2023,1,1,0.23,0.3,,,,,FALSE
allview,Allview P.T.,2023,1,2,0.22,0.29,,,,,FALSE
allview,Allview P.T.,2023,1,3,0.22,0.29,,,,,FALSE
allview,Allview P.T.,2023,1,4,0.22,0.29,,,,,FALSE
allview,Allview P.T.,2023,1,5,0.22,0.31,,,,,FALSE
allview,Allview P.T.,2023,1,6,0.24,0.34,,,,,FALSE
allview,Allview P.T.,2023,1,7,0.26,0.34,,,,,FALSE
allview,Allview P.T.,2023,1,8,0.28,0.35,,,,,FALSE
allview,Allview P.T.,2023,1,9,0.27,0.36,,,,,FALSE
allview,Allview P.T.,2023,1,10,0.27,0.37,,,,,FALSE
allview,Allview P.T.,2023,1,11,0.24,0.37,,,,,FALSE
allview,Allview P.T.,2023,1,12,0.23,0.37,,,,,FALSE
allview,Allview P.T.,2023,1,13,0.22,0.4,,,,,FALSE
allview,Allview P.T.,2023,1,14,0.22,0.4,,,,,FALSE
allview,Allview P.T.,2023,1,15,0.23,0.41,,,,,FALSE
allview,Allview P.T.,2023,1,16,0.24,0.4,,,,,FALSE
allview,Allview P.T.,2023,1,17,0.27,0.41,,,,,FALSE
allview,Allview P.T.,2023,1,18,0.31,0.42,,,,,FALSE
allview,Allview P.T.,2023,1,19,0.33,0.43,,,,,FALSE
allview,Allview P.T.,2023,1,20,0.32,0.43,,,,,FALSE
allview,Allview P.T.,2023,1,21,0.33,0.4,,,,,FALSE
allview,Allview P.T.,2023,1,22,0.33,0.4,,,,,FALSE
allview,Allview P.T.,2023,1,23,0.29,0.36,,,,,FALSE
allview,Allview P.T.,2023,2,0,0.24,0.3,,,,,FALSE
allview,Allview P.T.,2023,2,1,0.23,0.29,,,,,FALSE
allview,Allview P.T.,2023,2,2,0.23,0.28,,,,,FALSE
allview,Allview P.T.,2023,2,3,0.24,0.28,,,,,FALSE
allview,Allview P.T.,2023,2,4,0.23,0.28,,,,,FALSE
allview,Allview P.T.,2023,2,5,0.23,0.3,,,,,FALSE
allview,Allview P.T.,2023,2,6,0.24,0.31,,,,,FALSE
allview,Allview P.T.,2023,2,7,0.25,0.33,,,,,FALSE
allview,Allview P.T.,2023,2,8,0.27,0.35,,,,,FALSE
allview,Allview P.T.,2023,2,9,0.26,0.35,,,,,FALSE
allview,Allview P.T.,2023,2,10,0.25,0.36,,,,,FALSE
allview,Allview P.T.,2023,2,11,0.24,0.36,,,,,FALSE
allview,Allview P.T.,2023,2,12,0.24,0.36,,,,,FALSE
allview,Allview P.T.,2023,2,13,0.24,0.37,,,,,FALSE
allview,Allview P.T.,2023,2,14,0.24,0.35,,,,,FALSE
allview,Allview P.T.,2023,2,15,0.24,0.36,,,,,FALSE
allview,Allview P.T.,2023,2,16,0.25,0.36,,,,,FALSE
allview,Allview P.T.,2023,2,17,0.27,0.37,,,,,FALSE
allview,Allview P.T.,2023,2,18,0.28,0.38,,,,,FALSE
allview,Allview P.T.,2023,2,19,0.31,0.4,,,,,FALSE
allview,Allview P.T.,2023,2,20,0.31,0.4,,,,,FALSE
allview,Allview P.T.,2023,2,21,0.29,0.37,,,,,FALSE
allview,Allview P.T.,2023,2,22,0.29,0.35,,,,,FALSE
allview,Allview P.T.,2023,2,23,0.25,0.32,,,,,FALSE
alola,Alola,2017,0,0,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,1,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,2,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,3,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,4,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,5,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,6,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,7,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,8,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,9,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,10,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,11,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,12,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,13,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,14,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,15,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,16,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,17,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,18,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,19,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,20,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,21,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,22,0,0,0,0,0,0,FALSE
alola,Alola,2017,0,23,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,0,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,1,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,2,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,3,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,4,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,5,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,6,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,7,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,8,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,9,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,10,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,11,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,12,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,13,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,14,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,15,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,16,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,17,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,18,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,19,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,20,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,21,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,22,0,0,0,0,0,0,FALSE
alola,Alola,2017,1,23,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,0,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,1,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,2,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,3,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,4,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,5,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,6,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,7,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,8,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,9,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,10,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,11,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,12,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,13,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,14,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,15,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,16,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,17,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,18,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,19,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,20,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,21,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,22,0,0,0,0,0,0,FALSE
alola,Alola,2017,2,23,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,0,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,1,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,2,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,3,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,4,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,5,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,6,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,7,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,8,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,9,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,10,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,11,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,12,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,13,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,14,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,15,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,16,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,17,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,18,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,19,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,20,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,21,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,22,0,0,0,0,0,0,FALSE
alola,Alola,2017,3,23,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,0,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,1,0,0,0,0,0,0,FALSE
