substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Chollita P.t.,1321.0,Devers 220/115 System,1.459,0.085,1.544,2.34,0.66,3.46,12.0,1.0,72.1362,4.0248,0.6192,0.0,23.2198,233.0,13.0,2.0,0.0,75.0,Deliverability in this area has not been determined by previous interconnection studies.
Circle City,1970.0,Mira Loma 220/66 System,0.034,0.0,0.034,0.0,0.0,55.97,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Cleargen,105.0,Mira Loma 220/66 System,0.0,0.0,0.0,2.39,0.0,40.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Coalgas,135.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Coldbrook P.t.,2050.0,Del Amo 220/66 System,0.204,0.0,0.204,0.74,0.28,0.8,4.0,1.0,91.3978,4.3011,0.0,0.0,4.3011,85.0,4.0,0.0,0.0,4.0,Interconnection studies in this area have identified adequate deliverability.
Colton,737.0,Vista 220/115 System,18.497,2.722,21.218,43.76,0.48,34.78,12.0,8.0,75.377,8.8018,0.1919,0.0274,15.6019,2749.0,321.0,7.0,1.0,569.0,Interconnection studies in this area have identified adequate deliverability.
Compress,1058.0,La Fresa 220/66 System,0.0,0.0,0.0,63.8,0.0,112.0,12.0,16.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,24.0,Interconnection studies in this area have identified adequate deliverability.
Compton 'A',,,,,,,,,4.0,2.0,79.0509,5.787,0.0,0.0,15.162,683.0,50.0,0.0,0.0,131.0,
Compton 'B',,,,,,,,,4.0,1.0,50.2183,20.9607,0.0,0.0,28.821,115.0,48.0,0.0,0.0,66.0,
Correction,1262.0,Windhub 220/66 System,8.444,0.0,8.444,3.43,2.46,0.0,12.0,1.0,0.0,5.2632,0.0,0.0,94.7368,0.0,1.0,0.0,0.0,18.0,Interconnection studies in this area have identified adequate deliverability.
Coso,1892.0,Kramer 220/115 System,0.0,0.0,0.0,7.0,0.0,7.0,12.0,1.0,9.0909,22.7273,0.0,0.0,68.1818,4.0,10.0,0.0,0.0,30.0,Interconnection studies in this area have identified inadequate deliverability.
Cottage Grove,1346.0,Vista 220/115 System,0.022,0.0,0.022,0.15,0.15,0.48,2.4,1.0,85.4054,4.8649,0.5405,0.0,9.1892,158.0,9.0,1.0,0.0,17.0,Interconnection studies in this area have identified adequate deliverability.
Coulter P.t.,1340.0,Vista 220/115 System,0.0,0.0,0.0,0.01,0.0,0.03,2.4,1.0,0.0,50.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,1.0,Interconnection studies in this area have identified adequate deliverability.
Counts P.t.,1342.0,Springville 220/66 System,0.0,0.0,0.0,0.02,0.0,0.15,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Court House P.t.,,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Cove,,,,,,,,,12.0,1.0,53.7815,2.9412,0.0,0.0,43.2773,128.0,7.0,0.0,0.0,103.0,
Cove P.t.,1366.0,Devers 220/115 System,0.265,0.019,0.284,2.39,0.12,4.72,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Crank P.t.,2275.0,Santiago 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Crawford P.t.,1345.0,Inyo Sce 220/115 System,0.003,0.0,0.003,0.15,0.02,0.16,2.4,1.0,60.0,10.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,3.0,Interconnection studies in this area have identified inadequate deliverability.
Crestwind U.g.s.,1344.0,La Fresa 220/66 System,0.383,0.046,0.429,1.26,0.34,1.07,4.0,1.0,79.3296,7.2626,0.0,0.0,13.4078,142.0,13.0,0.0,0.0,24.0,Interconnection studies in this area have identified adequate deliverability.
Crump P.t.,1348.0,El Casco 220/115 System,0.102,0.038,0.141,0.62,0.23,1.36,12.0,1.0,82.0513,6.6667,0.0,0.0,11.2821,160.0,13.0,0.0,0.0,22.0,Deliverability in this area has not been determined by previous interconnection studies.
Cyber,1984.0,El Nido 220/66 System,0.0,0.0,0.0,20.0,0.0,20.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Daeley P.t.,2046.0,Center 220/66 System,0.138,0.01,0.148,1.0,0.15,0.85,4.0,1.0,85.4167,5.2083,0.0,0.0,9.375,82.0,5.0,0.0,0.0,9.0,Interconnection studies in this area have identified adequate deliverability.
Daisy,886.0,Hinson 220/66 System,0.666,0.048,0.714,4.85,0.15,5.29,4.0,4.0,64.3402,15.8124,0.0,0.0,19.8473,590.0,145.0,0.0,0.0,182.0,Interconnection studies in this area have identified adequate deliverability.
Dalba P.t.,1349.0,Vista 220/115 System,0.111,0.0,0.111,0.73,0.15,0.89,2.4,1.0,72.6415,1.8868,0.0,0.0,25.4717,77.0,2.0,0.0,0.0,27.0,Interconnection studies in this area have identified adequate deliverability.
Dawn,2176.0,Antelope 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Deigaard P.t.,1354.0,Goleta 220/66 System,0.0,0.0,0.0,0.22,0.0,0.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Del Amo 'A',2034.0,Del Amo 220/66 System,47.007,6.915,53.922,203.11,0.27,362.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Del Amo 'C',2035.0,Del Amo 220/66 System,88.821,25.622,114.443,321.55,0.36,301.48,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Deluz P.t.,1350.0,Valley 500/115 System,0.622,0.067,0.689,1.5,0.46,0.81,12.0,1.0,53.8462,11.5385,0.9615,0.0,33.6538,56.0,12.0,1.0,0.0,35.0,Deliverability in this area has not been determined by previous interconnection studies.
Diemer,1937.0,Villa Park 220/66 System,0.0,0.0,0.0,2.06,0.0,10.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Dinkey Creek P.t.,1351.0,Big Creek 220/220 System,0.0,0.0,0.0,0.16,0.0,0.3,4.0,1.0,50.0,10.0,0.0,0.0,40.0,20.0,4.0,0.0,0.0,16.0,Interconnection studies in this area have identified inadequate deliverability.
Dinosaur,2051.0,El Casco 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Doheny,475.0,La Cienega 220/66 System,0.029,0.0,0.029,0.0,0.0,0.0,4.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,Interconnection studies in this area have identified adequate deliverability.
Dolores P.t.,1960.0,Gould 220/66 System,0.344,0.03,0.375,0.33,1.12,1.13,4.0,1.0,92.6829,1.2195,0.0,0.0,6.0976,76.0,1.0,0.0,0.0,5.0,Interconnection studies in this area have identified adequate deliverability.
Dolphin P.t.,2160.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.29,0.0,0.75,4.0,1.0,8.3333,8.3333,0.0,0.0,83.3333,1.0,1.0,0.0,0.0,10.0,Interconnection studies in this area have identified adequate deliverability.
Domeland P.t.,1363.0,Kramer 220/115 System,0.033,0.003,0.036,0.55,0.07,7.46,12.0,1.0,33.3333,12.8205,2.5641,0.0,51.2821,13.0,5.0,1.0,0.0,20.0,Interconnection studies in this area have identified inadequate deliverability.
Dos Lagos P.m.,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Douglas Park,1865.0,Del Amo 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
