bus_i,kV,Type,Import,Lat,Lon,nearest_our_sub,nearest_utility,nearest_our_lat,nearest_our_lon,dist_km,matched
185,115,Substation,' ',33.38496117,-115.6887666,Eagle Mountain,sce,33.81142800223903,-115.45355200188276,52.18560666170346,False
186,66,Substation,' ',32.66910959,-115.5002718,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,71.93211640100463,False
187,115,Substation,' ',32.81791422,-115.5779823,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,66.98493409572727,False
188,115,Substation,' ',33.41180556,-116.0507499,BORREGO,sdge,33.242891548049656,-116.34638794455222,33.27500757901355,False
189,115,Substation,' ',32.79963333,-115.5791028,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,66.38018967949267,False
190,115,Substation,' ',33.05360069,-114.9841401,Verdant,sce,33.41784425716497,-114.72418516485564,47.169427811288415,False
191,115,Substation,' ',33.04703333,-114.8841944,Verdant,sce,33.41784425716497,-114.72418516485564,43.83589005025171,False
192,66,Substation,' ',32.91199807,-115.5681245,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,71.29492951985915,False
193,66,Substation,' ',32.75293878,-114.590084,Verdant,sce,33.41784425716497,-114.72418516485564,74.98226278266331,False
194,115,Substation,' ',32.70621445,-115.0311648,Verdant,sce,33.41784425716497,-114.72418516485564,84.14192341751279,False
195,66,Substation,' ',32.71114659,-114.9425616,Verdant,sce,33.41784425716497,-114.72418516485564,81.17336030216137,False
196,115,Substation,' ',32.73657328,-114.7126452,Verdant,sce,33.41784425716497,-114.72418516485564,75.76150646439629,False
197,115,Substation,' ',32.81140555,-115.680425,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,57.58502106162643,False
198,115,Substation,' ',33.24227704,-115.501121,Eagle Mountain,sce,33.81142800223903,-115.45355200188276,63.44012047126161,False
199,66,Substation,' ',32.98697223,-115.5429722,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,77.02082645192037,False
200,66,Substation,' ',32.79184606,-115.857801,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,41.193110546050825,False
201,66,Substation,' ',32.68598055,-115.5085444,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,71.20722239875143,False
202,115,Substation,' ',33.28528889,-115.9698333,BORREGO,sdge,33.242891548049656,-116.34638794455222,35.32642501877013,False
203,115,Substation,' ',32.79148946,-115.6946665,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,55.69054728459548,False
204,66,Substation,' ',32.75270556,-115.6376722,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,59.95679699570832,False
205,115,Substation,' ',32.88062222,-115.7434361,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,54.9685322248338,False
206,66,Substation,' ',32.69940301,-115.2832006,BOULEVARD EAST,sdge,32.658400194287246,-116.26859395520212,92.33904435740746,False
207,66,Substation,' ',33.03810038,-115.6189923,BORREGO,sdge,33.242891548049656,-116.34638794455222,71.45135220774063,False
208,66,Substation,' ',37.37438227,-117.9796042,Deep Springs,sce,37.37486700132881,-117.977503003681,0.1933369367178443,True
209,115,Substation,' ',36.10989167,-117.9564555,Coso,sce,36.082697937378725,-117.9508794515932,3.065028304508503,False
210,115,Substation,' ',36.60071079,-118.0725009,Coso,sce,36.082697937378725,-117.9508794515932,58.62139448868172,False
211,66,Substation,' ',37.35976047,-118.7018945,Mt. Tom,sce,37.35012841125564,-118.46543749176112,20.92737148177456,False
212,66,Substation,' ',37.34980639,-118.4653526,Mt. Tom,sce,37.35012841125564,-118.46543749176112,0.03658495823922708,True
213,66,Substation,' ',37.40070021,-118.3505364,Mt. Tom,sce,37.35012841125564,-118.46543749176112,11.606346197976318,False
214,66,Substation,' ',35.7116008,-120.0111956,ANTELOPE,pge,35.657909182784095,-119.99680487400924,6.110073263898958,False
215,66,Substation,' ',35.65850145,-120.0424297,ANTELOPE,pge,35.657909182784095,-119.99680487400924,4.122586525016992,False
216,66,Substation,' ',34.88051458,-118.9009699,Frazier Park,sce,34.81547512233127,-119.01032023127377,12.32384399746074,False
217,66,Substation,' ',35.4707658,-119.1183189,7TH STANDARD,pge,35.43969344317223,-119.13116637687604,3.6457878888030364,False
218,115,Substation,' ',35.57075757,-119.1154201,LERDO,pge,35.500438317703164,-119.15186971490876,8.4862743356738,False
219,115,Substation,' ',35.40105743,-119.035393,WESTPARK,pge,35.37405023329696,-119.04033986202364,3.036361353597565,False
220,230,Substation,' ',34.95491418,-118.8442502,TEJON,pge,35.01982434064145,-118.95468562709183,12.381883367550875,False
