utility,substation_name,util_lat,util_lon,basin_lat,basin_lon,dist_to_basin_km,sub_type,substation_voltage,voltage_kv,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,lat,lon,coord_source,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
pge,VACA DIXON,38.39965913851507,-121.920052746684,38.40116764046183,-121.92078581127718,0.1794901815351435,,,12.0,,North Bay,6359.0,42.195,54.037,96.232,,,,3.0,,,,,,,,,,,No,38.39965913851507,-121.920052746684,utility,8706,115,38.40111887,-121.92076,0.17362181474134772,True
pge,NEW HOPE,38.226101912543534,-121.47310289510555,,,,,,12.0,,Stockton,16208.0,0.86,2.514,3.374,,,,1.0,,,,,,,,,,,No,38.226101912543534,-121.47310289510555,utility,821,66,38.22554469,-121.4739245,0.09481498579082619,True
pge,ZAMORA,38.77465430165772,-121.85821418077823,38.77565521973385,-121.85816692262264,0.1113723853140695,,,12.0,,Sacramento,6319.0,1.385,1.385,2.77,,,,2.0,,,,,,,,,,,No,38.77465430165772,-121.85821418077823,utility,1485,66,38.80928378,-121.7450948,10.532938430273028,False
pge,DEEPWATER,38.55140495900723,-121.55981764661082,38.55156818452924,-121.56001216502244,0.0248101582143955,,,12.0,,Sacramento,6362.0,9.11,12.418,21.528,,,,2.0,,,,,,,,,,,No,38.55140495900723,-121.55981764661082,utility,2109,66,38.56753222,-121.5688412,1.9573993339729934,True
pge,WOLFE,37.33477745536544,-122.02082362284114,37.33443633426892,-122.02060640357652,0.0425156319568249,,,12.0,,De Anza,8367.0,1.161,1.21,2.371,,,,3.0,,,,,,,,,,,No,37.33477745536544,-122.02082362284114,utility,1264,115,37.33443633,-122.0206064,0.042516198285366014,True
pge,WILLITS,39.40550748378168,-123.32695422926648,39.40558965953939,-123.32707957151013,0.0141232783444593,,,12.0,,Humboldt,4266.0,4.332,6.014,10.346,,,,2.0,,,,,,,,,,,Yes,39.40550748378168,-123.32695422926648,utility,1581,66,39.40558966,-123.3270796,0.014125178001203224,True
pge,LOGAN CREEK,39.53921325844442,-122.2628031886025,39.53951119071489,-122.26305085446424,0.0393516023538412,,,21.0,,North Valley,10314.0,5.519,16.362000000000002,21.881,,,,1.0,,,,,,,,,,,No,39.53921325844442,-122.2628031886025,utility,154,230,39.53951119,-122.2630509,0.03935364296967352,True
pge,PENRYN,38.84486110184167,-121.16643199707649,38.84450411971604,-121.16656041028244,0.0412230561689633,,,12.0,,Sierra,15256.0,13.941,14.929,28.87,,,,2.0,,,,,,,,,,,No,38.84486110184167,-121.16643199707649,utility,752,66,38.84450412,-121.1665604,0.04122278553491177,True
pge,EAST STOCKTON,37.96312284092296,-121.26093352398566,37.96293398993085,-121.26163502109512,0.0649845180336754,,,4.16,,Stockton,16313.0,6.12,6.448,12.568,,,,2.0,,,,,,,,,,,No,37.96312284092296,-121.26093352398566,utility,1144,66,37.96293399,-121.261635,0.06498276542372138,True
pge,LE GRAND,37.18467134480297,-120.27370723472944,37.18497687324676,-120.2739550698558,0.0404500877148694,,,12.0,,Yosemite,25536.0,2.749,7.826,10.575,,,,1.0,,,,,,,,,,,No,37.18467134480297,-120.27370723472944,utility,613,115,37.18497687,-120.2739551,0.04045123399671867,True
