utility,substation_name,node,dist_km
sce,Watson,558,0.03079681201667076
sce,Elsinore,793,0.030837649828750854
pge,ATASCADERO,1172,0.031158266240227148
pge,SAN LUIS OBISPO,8843,0.03134263100888006
sce,Lynwood,2075,0.03149066318337906
pge,STOCKTON A,8160,0.031491943937366325
pge,CHICO B,44,0.03168779407684837
pge,COLUMBIA HILL,663,0.031728483164262314
sce,Sawtelle,519,0.03173382471768166
pge,COVELO,591,0.03176193746688723
pge,ORTIGA,616,0.031803416595234044
pge,SAN JOAQUIN,144,0.0318067123774339
sce,Mayflower,2048,0.03185664262218877
pge,PARKWAY,2116,0.031899377560424075
sce,La Palma,695,0.03195303244823973
pge,FLORENCE,2142,0.031964497873711924
pge,DRUM,8577,0.03202690877533137
pge,HATTON,639,0.03215374520546819
pge,RESEARCH,95,0.032219910413049654
sce,Wabash,555,0.03224784319740138
pge,LINDEN,1153,0.03225760077544052
pge,FRANKLIN,88,0.03226179195261556
sce,Santa Monica,518,0.032487638686298316
pge,RALSTON,1205,0.03249319762936255
sce,Brighton,380,0.032529054240880234
pge,PAUL SWEET,8052,0.03265315789082286
pge,WILLOW PASS,97,0.03298345236633409
sce,Nola,476,0.033015673427257086
pge,PUEBLO,660,0.033063939572001044
pge,EL NIDO,8436,0.033265834812747835
sce,Greenhorn,297,0.033317835654915626
sce,Ellis,7628,0.0333619193499229
pge,ANTELOPE,224,0.0334740316104472
pge,FITCH MOUNTAIN,1763,0.03354915580036976
pge,SAN JOSE B,1258,0.03359496306852174
sce,East Barstow,2011,0.033617156362906186
sce,Bandini,368,0.03402001805228866
sce,Fullerton,688,0.034024737603271606
pge,CLARK ROAD,1578,0.034037092246691415
pge,SISQUOC,8121,0.03405138440490768
pge,TASSAJARA,2236,0.03407974533562299
sce,Cherry,389,0.03410651198358163
pge,EUREKA A,1574,0.03413324629082015
pge,SUMMIT,7837,0.03427537555700381
pge,TRINIDAD,180,0.03433244145822427
pge,BONNIE NOOK,744,0.03435913383049031
sce,Fillmore,1461,0.0343748039402394
sce,Newmark,473,0.0343800079807834
pge,STOCKTON ACRES,2243,0.034405386147737735
sce,Mascot,2260,0.03443693390001783
pge,CAMDEN,120,0.03444295497136766
pge,BAY MEADOWS,8587,0.03454998930032219
pge,MILPITAS,1253,0.03455698950291412
pge,SISQUOC,8122,0.034601711261194185
sce,Aqueduct,993,0.034616864614981493
pge,ARBUCKLE,62,0.034685438449860086
sce,Cucamonga,1002,0.03474857777004966
sce,Dalton,406,0.03495505547800293
sce,Arro,996,0.03496442006793174
pge,WEBER,8830,0.03496894520512932
pge,WEST SACRAMENTO,8661,0.034989138471113033
pge,VINA,1403,0.035061815674375135
sce,Calectric,998,0.03507383531621427
sce,Pearl,2092,0.035141745180659455
sce,Camden,677,0.03525854562190355
pge,MAXWELL,66,0.03534438141920356
pge,CAMP EVERS,1268,0.03542062292989161
sce,Athens,2077,0.035502353088559674
sce,Hathaway,431,0.03561183216371818
sce,Bradbury,375,0.035650978438771484
pge,PLUMAS,1495,0.035679291017644305
pge,PACIFICA,1203,0.03571128632650128
pge,FMC,1231,0.03573912060044359
pge,SANTA YNEZ,1218,0.03577740018023218
pge,EAST NICOLAUS,8562,0.035784973145772586
sce,Trask,726,0.035878538689422035
sce,Locust,2090,0.03593056607623245
pge,DRUM,8578,0.036011102069751826
sce,Woodruff,2060,0.0360657998585462
pge,BORONDA,8337,0.03613210403559867
pge,MOUNTAIN QUARRIES,102,0.03631783751072036
pge,JACOBS CORNER,322,0.03639937845159338
pge,METTLER,1156,0.03642924347792614
pge,CANAL,606,0.036445533601513314
pge,BANGOR,41,0.03652660213694413
sce,Mt. Tom,212,0.03658495823958809
sce,Torrance,542,0.036682345049946066
pge,RIVERBANK,1378,0.03674821839752411
sce,Bluff Cove,2103,0.03675886253649742
sce,Colorado,394,0.03676260909985343
pge,TAFT,8239,0.03677004239855959
pge,HIGHWAY,659,0.03679049679826982
pge,MORRO BAY,7636,0.0370219232157593
sce,Stetson,812,0.03712133092836483
pge,MADERA,573,0.03719704193991145
sce,Burnt Mill,2271,0.0373893735918177
pge,CARRIZO PLAINS,1176,0.03744889167967175
pge,EAST NICOLAUS,8561,0.03752106328751657
sce,Cypress,684,0.037631282794762924
pge,DINUBA,1413,0.03763476958904134
pge,RESERVE OIL,325,0.03768620875071789
pge,TYLER,1402,0.03776674547712598
pge,LOS COCHES,644,0.03779987597407527
pge,VALLEY HOME,1168,0.03795646874529618
pge,LOYOLA,1249,0.03803961836621864
