bus_i,kV,Type,Import,Lat,Lon,nearest_cec_name,nearest_cec_owner,nearest_cec_type,nearest_cec_lat,nearest_cec_lon,dist_km,matched
1568,66,Substation,' ',40.35133837,-120.2488718,Wineagle,nve_assumed,SUBSTATION,40.35133305,-120.24885855,0.0012691106987520872,True
1569,66,Substation,' ',40.30038982,-120.1942201,Amedee,nve_assumed,SUBSTATION,40.30038449,-120.19420693,0.0012643823868763466,True
1570,66,Substation,' ',41.44399812,-120.8801201,Canby 1,nve_assumed,SUBSTATION,41.44399275,-120.88010664,0.0012709248362440357,True
1571,66,Substation,' ',41.13280847,-121.1375887,Big Valley Lumber Co.,pge_assumed,SUBSTATION,41.13280316,-121.13757522,0.0012740370845963792,True
1572,66,Substation,' ',41.09133715,-121.1788459,Muck Valley,pge_assumed,SUBSTATION,41.09133185,-121.17883239,0.0012763841267895517,True
1573,66,Substation,' ',40.29760752,-121.0180107,Mt. Lassen,pge_assumed,SUBSTATION,40.29760227,-121.0179974,0.0012700590875958366,True
1574,66,Substation,' ',40.79375288,-124.1832703,Eureka Station A,pge,SUBSTATION,40.79374785,-124.1832564,0.0012969309269478162,True
1575,66,Substation,' ',40.79343242,-124.1803135,Eureka Station E,pge,SUBSTATION,40.79342739,-124.1802996,0.0012969360210284915,True
1576,66,Substation,' ',40.27530051,-120.187432,Us Ord Depot-Herlong,nve_assumed,SUBSTATION,40.27529519,-120.18741879,0.0012672280155350117,True
1577,66,Substation,' ',40.1445318,-120.1703093,Patton,nve_assumed,SUBSTATION,40.14452648,-120.17029614,0.0012653839350942704,True
1578,66,Substation,' ',39.65452133,-121.6355082,Clark Road,pge,SUBSTATION,39.65451617,-121.63549489,0.001275769335586773,True
1579,115,Substation,' ',39.71972703,-121.8393363,Dayton Road,pge,SUBSTATION,39.71972188,-121.83932292,0.0012796599280737405,True
1580,66,Substation,' ',39.76192786,-122.1975464,High Line,pge,SUBSTATION,39.76192274,-122.19753293,0.0012844347602917281,True
1581,66,Substation,' ',39.40558966,-123.3270796,Willits Station A,pge,SUBSTATION,39.40558466,-123.32706602,0.0012924493879640565,True
1582,115,Substation,' ',39.58040165,-121.1196964,Sly Creek,pge,SUBSTATION,39.58039646,-121.11968313,0.0012753044024980274,True
1583,66,Substation,' ',39.33576922,-120.1837725,North Truckee,pge_assumed,SUBSTATION,39.33576398,-120.18375947,0.0012630459563164513,True
1584,230,Substation,' ',38.98438032,-120.3273764,Loon Lake,smud,SUBSTATION,38.98437512,-120.32736337,0.0012659894993502056,True
1585,230,Substation,' ',38.89702284,-120.378397,Robbs Peak,smud,SUBSTATION,38.89701765,-120.37838399,0.0012651773320087394,True
1586,230,Substation,' ',38.83404102,-120.5318797,Jaybird,smud,SUBSTATION,38.83403585,-120.53186663,0.001269684863341218,True
1587,115,Substation,' ',38.0718328,-120.5393568,Angels,pge,SUBSTATION,38.07182769,-120.53934383,0.0012696007472306665,True
1588,230,Substation,' ',37.9465677,-120.5300395,New Melones,wapa,SUBSTATION,37.9465626,-120.53002659,0.0012661346248480198,True
1589,66,Substation,' ',38.03021814,-121.8740447,Los Medanos,pge_assumed,SUBSTATION,38.03021313,-121.87403156,0.0012786285589298845,True
1590,66,Substation,' ',38.03040028,-121.8694191,Loveridge Road,pge,SUBSTATION,38.03039528,-121.86940592,0.0012812974578654817,True
1591,115,Substation,' ',38.01494901,-122.1162354,Martinez,pge,SUBSTATION,38.01494402,-122.11622225,0.0012786664620998622,True
1592,115,Substation,' ',38.01608705,-122.1162873,Fairview - (PG&E),pge,SUBSTATION,38.01608207,-122.11627408,0.0012836978384789207,True
1593,115,Substation,' ',37.87667314,-120.6055921,Tulloch,pge,SUBSTATION,37.87666806,-120.6055792,0.0012653175628649085,True
1594,115,Substation,' ',38.0141512,-121.7753221,Gaylord,pge_assumed,SUBSTATION,38.01414619,-121.775309,0.00127570236175512,True
1595,230,Substation,' ',38.01528973,-121.7623028,Contra Costa Power,pge,SUBSTATION,38.01528472,-121.76228962,0.001281994765072813,True
1596,115,Substation,' ',38.01445584,-121.790861,Riverview,pge_assumed,SUBSTATION,38.01445083,-121.79084784,0.0012804287806451244,True
1597,115,Substation,' ',37.94324554,-122.384154,Standard Oil 1,pge_assumed,SUBSTATION,37.94324058,-122.38414077,0.0012845704102057468,True
1598,115,Substation,' ',37.94430499,-122.389169,Standard Oil 4,pge_assumed,SUBSTATION,37.94430003,-122.38915577,0.0012845553020746374,True
1599,115,Substation,' ',37.94096481,-122.3887883,Standard Oil 3,pge_assumed,SUBSTATION,37.94095984,-122.38877509,0.0012834975385224412,True
1600,115,Substation,' ',37.95041,-122.395126,Standard Oil 2,pge,SUBSTATION,37.95040504,-122.39511277,0.0012844682499057098,True
1601,115,Substation,' ',37.94563541,-122.3809747,Standard Oil 5,pge_assumed,SUBSTATION,37.94563045,-122.38096145,0.001286120428773404,True
1602,115,Substation,' ',37.94438087,-119.216016,Poole Ph,sce,SUBSTATION,37.94437568,-119.21600329,0.0012550789927244785,True
1603,230,Substation,' ',37.94623587,-121.7597976,Lone Tree,pge,SUBSTATION,37.94623087,-121.75978443,0.0012817012713786501,True
1604,66,Substation,' ',37.9261806,-122.3695771,Richmond R,pge,SUBSTATION,37.92617563,-122.36956389,0.0012837078399609294,True
1605,115,Substation,' ',37.88360418,-122.1934706,Orinda,pge,SUBSTATION,37.88359921,-122.19345746,0.0012787703741622808,True
1606,230,Substation,' ',37.54586828,-118.5899655,Upper Gorge,ladwp,SUBSTATION,37.54586308,-118.58995289,0.0012531068866123384,True
1607,230,Substation,' ',37.79142631,-121.7277739,US Wind Power,pge,SUBSTATION,37.79142132,-121.72776081,0.0012770739067595727,True
1608,115,Substation,' ',37.83757075,-122.2636119,Oakland D,pge,SUBSTATION,37.83756579,-122.26359866,0.0012868689394960348,True
1609,115,Substation,' ',37.79786601,-122.282006,Oakland C,pge,SUBSTATION,37.79786105,-122.28199282,0.0012826725537863324,True
1610,115,Substation,' ',37.79743896,-122.2807377,Oakland I - PG&E Northwest,pge,SUBSTATION,37.797434,-122.28072446,0.0012874402284127494,True
1611,115,Substation,' ',37.80528987,-122.2312677,Oakland X,pge,SUBSTATION,37.80528491,-122.2312545,0.0012841540415050696,True
1612,115,Substation,' ',37.810314,-122.271413,Oakland L,pge,SUBSTATION,37.81030904,-122.27139981,0.0012832895139838413,True
1613,66,Substation,' ',37.79421735,-121.5595702,Mt. House,pge,SUBSTATION,37.79421234,-121.55955708,0.0012803755451659918,True
1614,66,Substation,' ',37.74908911,-121.6494936,California Energy Tesla,pge,SUBSTATION,37.74908412,-121.6494805,0.0012784593103351226,True
1615,230,Substation,' ',37.80058871,-121.6209518,Delta Pumps,pge,SUBSTATION,37.8005837,-121.6209387,0.0012787041161540001,True
