name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,cec_id,status,proposed,urban_rural,imagery_verified,cpuc_substation_name,cpuc_caiso_study_area,cpuc_caiso_local_area,cpuc_owner,cpuc_voltages,cec_resolve_area,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Unknown - 3952,PG&E KERN,pge,SUBSTATION,307398.0,,35.48443108,-119.72828044,Kern County,,93251.0,HIFLD,,{854D5C34-D374-4C92-846C-D58F3782EC5E},Operational,NO,RURAL,UNK,,,,,,PGE Kern,1986,66,35.47018145,-119.7510309,2.5989463790047322,False
Arkansas - (PG&E),PG&E,pge,SUBSTATION,305625.0,230.0,39.36527723,-122.26383027,Colusa County,,95979.0,CEC,,{3C37EFB8-AFEF-49F4-A9BA-4F81B72D30A7},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,2107,230,39.36528231,-122.2638437,0.0012853122681128549,True
Unknown - 3953,SCE Metro,sce,RISER,307427.0,66.0,33.99699612,-117.71443891,San Bernardino County,Chino,91710.0,HIFLD,,{B448B203-BC5B-4948-81B8-49ADCF5D8C1C},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2000,66,33.99376264,-117.7086853,0.6407990613993342,True
Cal-Sierra,Other (PGE - Assumed),pge_assumed,SUBSTATION,303604.0,60.0,39.19442752,-121.44217735,Yuba County,,95901.0,CEC,,{B47C3095-FCE6-491A-B783-E5A0002944FD},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,2108,66,39.19443266,-121.4421906,0.0012768956447497895,True
Wolfskill,PG&E NGBA,pge,SUBSTATION,307435.0,,38.22806899,-122.07515378,Solano County,Fairfield,94534.0,HIFLD,,{EBCE5A6A-1646-4BC2-A8F1-91E862F55303},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,1330,115,38.23623323,-122.0966651,2.086721174660139,False
Processing Site,Other (PGE - Assumed),pge_assumed,SUBSTATION,309699.0,115.0,38.87413473,-122.4331706,Lake County,,95457.0,CEC,,{8199732B-68B4-4009-9173-16AE25ABEFDE},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,331,115,39.02753504,-122.6623833,26.150101940714134,False
Unknown - 3956,SCE Metro,sce,RISER,307451.0,,34.06731411,-117.68942891,San Bernardino County,Montclair,91763.0,HIFLD,,{CB54B46D-8C75-4DE8-A6A0-4222C983A621},Operational,NO,URBAN,UNK,,,,,,SCE Metro,1021,66,34.04688623,-117.6749861,2.6324640264014385,False
Sacramento Mail (Postal Service),Other (PGE - Assumed),pge_assumed,SUBSTATION,300081.0,,38.56752714,-121.56882804,Yolo County,West Sacramento,95691.0,CEC,,{C95B331E-2040-484F-B70E-9FF9A15BACE0},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,2109,66,38.56753222,-121.5688412,0.001275980072696474,True
Unknown - 3957,SCE NOL,sce,NOT AVAILABLE,307478.0,34.0,34.26532459,-116.86625216,San Bernardino County,Big Bear City,92314.0,HIFLD,,{1FA74818-A694-48DB-A3E8-C4C1CED4BE4D},Operational,NO,URBAN,UNK,,,,,,SCE NOL,2391,66,34.26184786,-116.8666181,0.3880546412992874,True
Formica,Other (PGE - Assumed),pge_assumed,SUBSTATION,300651.0,115.0,38.82270593,-121.30820997,Placer County,,95765.0,CEC,,{B3C94C0B-4EFE-42F7-87E8-00E94CAF94D7},Operational,NO,RURAL,UNK,,PGE NGBA,,,,PGE NGBA,2110,66,38.82271105,-121.3082231,0.0012719842444300223,True
Unknown - 3958,SCE Metro,sce,RISER,307518.0,66.0,34.00771561,-117.83815874,Los Angeles County,Industry,91789.0,HIFLD,,{96054446-BCC6-472F-8AB0-C8E9C523736A},Operational,NO,URBAN,UNK,,,,,,SCE Metro,475,66,34.00676088,-117.8552914,1.582799980428513,True
Sierra Pine,Other (PGE - Assumed),pge_assumed,SUBSTATION,308633.0,,38.8009221,-121.21745056,Placer County,Rocklin,95677.0,CEC,,{D7FD377A-5B38-4AFA-83C1-DF4ECE122639},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,2111,66,38.80092722,-121.2174637,0.0012730704013470338,True
