t3_name,sub_id,t3_norm,alt_name,alt_lat,alt_lon,alt_norm,t3_in_basin,alt_in_basin,names_agree
Frazier Park,632.0,frazier park,Frazier Park,34.81547512233127,-119.01032023127377,frazier park,True,True,True
Fruitland,839.0,fruitland,Fruitland,33.99612653954061,-118.22661150774924,fruitland,True,True,True
Fullerton,935.0,fullerton,Fullerton,33.86801014671579,-117.92098061980474,fullerton,True,True,True
Gabrielino P.t.,2039.0,gabrielino,Gabrielino P.T.,34.084080889069995,-118.09351128524295,gabrielino,False,False,True
Gage,891.0,gage,Gage,33.96285388729544,-118.15565626543383,gage,False,False,True
Gale,1787.0,gale,Gale,34.85901038194339,-116.866424742626,gale,True,True,True
Galileo P.t.,1397.0,galileo,Galileo P.T.,35.218163138249764,-117.7650016012762,galileo,False,False,True
Gallatin,936.0,gallatin,Gallatin,33.96137148906237,-118.11147605505278,gallatin,True,True,True
Garfield,402.0,garfield,Garfield,34.126135002802286,-118.14927799541836,garfield,True,True,True
Garnet,1613.0,garnet,Garnet,33.90145418385204,-116.5439873868186,garnet,True,True,True
Garvey,403.0,garvey,Garvey,34.06333642914691,-118.0910441257477,garvey,False,False,True
Gavilan,1725.0,gavilan,Gavilan,33.78453137951131,-117.244404040654,gavilan,True,True,True
Gaviota,706.0,gaviota,Gaviota,34.47616945495448,-120.19895765529488,gaviota,True,True,True
Genamic,1192.0,genamic,Genamic,34.090687084227305,-117.56578692312048,genamic,True,True,True
George A.f.b.,1671.0,george a f b,George A.F.B.,34.57982381229889,-117.36944495127666,george a f b,False,False,True
Gilbert,945.0,gilbert,Gilbert,33.87688000357716,-117.97285199579584,gilbert,True,True,True
Gisler,971.0,gisler,Gisler,33.6874929740019,-117.91268546781532,gisler,True,True,True
Glen Avon,1673.0,glen avon,Glen Avon,34.00596154761225,-117.45752658281909,glen avon,True,True,True
Glennville,566.0,glennville,Glennville,35.7241343503674,-118.69554791102324,glennville,True,True,True
Globemaster P.t.,2355.0,globemaster,Globemaster P.T.,33.88042232907234,-117.26437367076043,globemaster,False,False,True
Goldhill,1798.0,goldhill,Goldhill,34.304594715563255,-116.82219835404692,goldhill,True,True,True
Goldtown,649.0,goldtown,Goldtown,35.05456290386635,-118.18626607582308,goldtown,True,True,True
Goleta,320.0,goleta,Goleta,34.47458731297879,-119.88528727978417,goleta,True,True,True
Gonzales,717.0,gonzales,Gonzales,34.2261977486632,-119.17572336799584,gonzales,True,True,True
Gorman,650.0,gorman,Gorman,34.78871455256242,-118.8223213307326,gorman,True,True,True
Goshen,567.0,goshen,Goshen,36.32601238794229,-119.43817686985088,goshen,True,True,True
Graham,845.0,graham,Graham,33.95932330825726,-118.23688369438952,graham,True,True,True
Granada,404.0,granada,Granada,34.105522002336,-118.12156799891294,granada,False,False,True
Grapevine P.t.,1388.0,grapevine,Grapevine P.T.,37.05920306834882,-117.28631243290252,grapevine,False,False,True
Great Lakes,694.0,great lakes,Great Lakes,34.83671927635196,-118.1569995374843,great lakes,True,True,True
Green Bear P.t.,1389.0,green bear,Green Bear P.T.,34.21189424600382,-117.07987409261612,green bear,False,False,True
Greenhorn,601.0,greenhorn,Greenhorn,35.738119403560795,-118.55660120008169,greenhorn,True,True,True
Greening,1019.0,greening,Greening,33.88151199685372,-118.04771599985176,greening,True,True,True
Grimshaw P.t.,1392.0,grimshaw,Grimshaw P.T.,35.84798971593569,-116.22601109207082,grimshaw,False,False,True
Gunsite P.t.,1393.0,gunsite,Gunsite P.T.,34.032046956248955,-116.85622670508616,gunsite,False,False,True
Hamilton,937.0,hamilton,Hamilton,33.65499499810547,-117.95302900495923,hamilton,True,True,True
Hanford,568.0,hanford,Hanford,36.323595092106814,-119.64909814786026,hanford,True,True,True
Harper Lake,2205.0,harper lake,Harper Lake,35.02803309199995,-117.34041708659684,harper lake,True,True,True
Harvard,1678.0,harvard,Harvard,34.95693116147875,-116.65323533398993,harvard,True,True,True
Haskell,724.0,haskell,Haskell,34.43778474777862,-118.51439019798472,haskell,True,True,True
Hathaway,847.0,hathaway,Hathaway,33.7909243823104,-118.14183061471968,hathaway,True,True,True
Havasu,794.0,havasu,Havasu,34.35454456774613,-114.26128224722392,havasu,True,True,True
Haveda,529.0,haveda,Haveda,33.82465115637044,-118.34438234661516,haveda,True,True,True
Havilah,570.0,havilah,Havilah,35.483344632977264,-118.52830260774395,havilah,True,True,True
Heartwell P.t.,1996.0,heartwell,Heartwell P.T.,33.83079573290369,-118.13356916466896,heartwell,False,False,True
Hedda,905.0,hedda,Hedda,33.86681562580689,-118.11757574761532,hedda,True,True,True
Helendale,1679.0,helendale,Helendale,34.739570732100724,-117.32440346481268,helendale,True,True,True
Hemet,1680.0,hemet,Hemet,33.746928919438126,-116.97559724729147,hemet,True,True,True
Hesperia,1804.0,hesperia,Hesperia,34.41277900052249,-117.28962499575006,hesperia,True,True,True
Hession P.t.,1402.0,hession,Hession P.T.,37.173693605683454,-118.28855548537793,hession,False,False,True
High P.t.,1415.0,high,High P.T.,34.90020773819528,-117.02086988565104,high,False,False,True
High School P.t.,1401.0,high school,High School P.T.,34.239078122087065,-117.1989983761408,high school,False,False,True
Highgrove,139.0,highgrove,Highgrove,34.022271000977824,-117.3328150006805,highgrove,True,True,True
Highland,749.0,highland,Highland,34.107628999650004,-117.18755599934724,highland,True,True,True
Hillgreen P.t.,2234.0,hillgreen,Hillgreen P.T.,34.05565240486036,-118.40685698214268,hillgreen,False,False,True
Hinkley,1682.0,hinkley,Hinkley,34.90638578245534,-117.15542788776906,hinkley,True,True,True
