loads_name,sub_id,loads_lat,loads_lon,loads_norm,attrs_name,attrs_lat,attrs_lon,attrs_norm,loads_in_basin,attrs_in_basin,names_agree,loads_attrs_dist_km
DEVILS DEN,25345,35.77577482106427,-119.97369007248874,devils den,DEVILS DEN,35.77577482106427,-119.97369007248874,devils den,True,True,True,0.0
TUPMAN,25456,35.35313544613848,-119.27093751559444,tupman,TUPMAN,35.35313544613848,-119.27093751559444,tupman,True,True,True,0.0
GEYSERVILLE,4289,38.70995941018712,-122.9076911568436,geyserville,GEYSERVILLE,38.70995941018712,-122.9076911568436,geyserville,True,True,True,0.0
COVELO,4306,39.78636157593041,-123.24873746443508,covelo,COVELO,39.78636157593041,-123.24873746443508,covelo,True,True,True,0.0
MARIPOSA,25445,37.504521775185246,-120.00756996777992,mariposa,MARIPOSA,37.504521775185246,-120.00756996777992,mariposa,True,True,True,0.0
WINTERS,6332,38.51671294425671,-121.95185421086413,winters,WINTERS,38.51671294425671,-121.95185421086413,winters,True,True,True,0.0
PARADISE,10283,39.76034094880524,-121.6190062372056,paradise,PARADISE,39.76034094880524,-121.6190062372056,paradise,True,True,True,0.0
AUBERRY,25415,37.0682317832377,-119.49617440265196,auberry,AUBERRY,37.0682317832377,-119.49617440265196,auberry,True,True,True,0.0
TRES PINOS,18322,36.78439384314798,-121.3195803556968,tres pinos,TRES PINOS,36.78439384314798,-121.3195803556968,tres pinos,False,False,True,0.0
WEST POINT,16320,38.42091643492973,-120.5488378291623,west point,WEST POINT,38.42091643492973,-120.5488378291623,west point,True,True,True,0.0
OLEMA,4229,38.042251130418286,-122.7863974329975,olema,OLEMA,38.042251130418286,-122.7863974329975,olema,True,True,True,0.0
BARRY,15211,39.069242120060025,-121.68996821514853,barry,BARRY,39.069242120060025,-121.68996821514853,barry,True,True,True,0.0
ALTO,4203,37.898563217546894,-122.5246426549278,alto,ALTO,37.898563217546894,-122.5246426549278,alto,True,True,True,0.0
ELECTRA,16216,38.33116093177938,-120.67246808322844,electra,ELECTRA,38.33116093177938,-120.67246808322844,electra,False,False,True,0.0
PEACHTON,10324,39.37878705432235,-121.68516794919552,peachton,PEACHTON,39.37878705432235,-121.68516794919552,peachton,True,True,True,0.0
SANTA RITA,25354,37.05503123485525,-120.63408256251265,santa rita,SANTA RITA,37.05503123485525,-120.63408256251265,santa rita,True,True,True,0.0
STUART,1384,37.857984085569285,-122.26844071173984,stuart,STUART,37.857984085569285,-122.26844071173984,stuart,True,True,True,0.0
PEORIA,16378,37.90339247520717,-120.49708389009176,peoria,PEORIA,37.90339247520717,-120.49708389009176,peoria,True,True,True,0.0
PEABODY,6364,38.28556962442518,-121.97162432823951,peabody,PEABODY,38.28556962442518,-121.97162432823951,peabody,True,True,True,0.0
STOREY,25461,36.98320145592562,-120.03348454940144,storey,STOREY,36.98320145592562,-120.03348454940144,storey,True,True,True,0.0
LAKEVIEW,25341,35.09364619774964,-119.10121328188974,lakeview,LAKEVIEW,35.09364619774964,-119.10121328188974,lakeview,True,True,True,0.0
PIKE CITY,15220,39.43821522456168,-120.9959439071993,pike city,PIKE CITY,39.43821522456168,-120.9959439071993,pike city,True,True,True,0.0
BANCROFT,1303,37.74028783112764,-122.1548323818996,bancroft,BANCROFT,37.74028783112764,-122.1548323818996,bancroft,True,True,True,0.0
BOWLES,25353,36.60577292106775,-119.77351527184116,bowles,BOWLES,36.60577292106775,-119.77351527184116,bowles,True,True,True,0.0
ELK HILLS,25244,35.226241139395945,-119.37663775129045,elk hills,ELK HILLS,35.226241139395945,-119.37663775129045,elk hills,True,True,True,0.0
OLETA,16354,38.4807522569046,-120.84479287419188,oleta,OLETA,38.4807522569046,-120.84479287419188,oleta,True,True,True,0.0
POSO MOUNTAIN,25364,35.559202917522015,-118.95782903329666,poso mountain,POSO MOUNTAIN,35.559202917522015,-118.95782903329666,poso mountain,False,False,True,0.0
SEMITROPIC,25290,35.600617453739545,-119.4375052688722,semitropic,SEMITROPIC,35.600617453739545,-119.4375052688722,semitropic,True,True,True,0.0
LAS GALLINAS A,4299,38.02256741456931,-122.53813147487423,las gallinas a,LAS GALLINAS A,38.02256741456931,-122.53813147487423,las gallinas a,False,False,True,0.0
