util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
ASHLAND,ashland,42.21007976701144,-122.70707495030494,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,37.34495849277266,False
TALENT,talent,42.25081858574651,-122.79298234111182,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,44.444575331809894,False
RUCH,ruch,42.235568119977856,-123.05966308038263,Seiad,seiad,41.84053309602203,-123.19196159609751,45.26428472931409,False
HUMBUG CREEK,humbug creek,42.2541925226117,-123.14999677152998,Seiad,seiad,41.84053309602203,-123.19196159609751,46.1271646963145,False
SELMA,selma,42.27957353433545,-123.62153482408432,Patrick'S Creek,patrick s creek,41.8814008700706,-123.8646664919014,48.60940616550678,False
BALDY SY,baldy sy,42.30149592158335,-122.77282412547493,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,48.80790735311052,False
PROVOLT,provolt,42.2869240172732,-123.23026694826471,Seiad,seiad,41.84053309602203,-123.19196159609751,49.73702637945164,False
CAMPBELL,campbell,42.29564435910592,-122.82701989979088,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,50.160731452076384,False
BELKNAP,belknap,42.30734733292312,-122.85355114493898,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,52.35677443297769,False
FOOTHILLS,foothills,42.32413823351494,-122.82234072369792,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,52.80100872519165,False
ROXY ANN,roxy ann,42.34174914814778,-122.78424604980226,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,53.29855076367115,False
MERIDIAN,meridian,42.363241687793256,-122.7547828877214,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,53.81695572168209,False
GRIFFIN CREEK,griffin creek,42.30092370318828,-122.91086891431192,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,54.257212332554715,False
LONE PINE,lone pine,42.3463791211521,-122.82171834302127,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,55.00780364664878,False
MEDFORD,medford,42.3336866378419,-122.86946195523268,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,55.54971614891404,False
SPRAGUE RIVER,sprague river,42.452648423476965,-121.50610382793182,Tulelake,tulelake,41.953363861811184,-121.47142246508336,55.5913562606883,False
BROOKHURST,brookhurst,42.345165220738096,-122.8442855114668,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,55.69913231155422,False
SAGE ROAD,sage road,42.33549491962179,-122.88817525858283,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,56.49382624344035,False
APPLEGATE,applegate,42.34703720077721,-123.30570419056755,Seiad,seiad,41.84053309602203,-123.19196159609751,57.09727215650938,False
BEATTY,beatty,42.44208684353536,-121.2502741857276,Tulelake,tulelake,41.953363861811184,-121.47142246508336,57.31567370324116,False
MEDCO,medco,42.346879444609804,-122.88805451961876,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,57.58126348750335,False
JACKSONVILLE,jacksonville,42.32824667922191,-122.9392567049628,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,58.083382809872724,False
BEALL LANE,beall lane,42.35750307226337,-122.90422280593744,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,59.27152182913739,False
MODOC,modoc,42.50101881985085,-121.8973328722766,Dorris,dorris,41.96684121703738,-121.9135761877594,59.4128913308664,False
VILAS ROAD,vilas road,42.388500785956346,-122.85358732279042,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,60.36105652725556,False
BOISE CASCADE,boise cascade,42.51290214649491,-121.87909197945964,Dorris,dorris,41.96684121703738,-121.9135761877594,60.78552807981451,False
BLY,bly,42.40157558051133,-121.0451499560237,Tulelake,tulelake,41.953363861811184,-121.47142246508336,60.97324086578323,False
FISHHOLE,fishhole,42.38721498487089,-121.01320068842776,Tulelake,tulelake,41.953363861811184,-121.47142246508336,61.26438522621439,False
SCENIC,scenic,42.38181505121153,-122.92540279592126,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,62.484228505402875,False
