OBJECTID,Name,Sub_Type,longitude,latitude
332,FAIRFIELD (FUTURE),Transmission,-112.00107630885218,40.26231706750043
333,FALCON RIDGE,Transmission,-111.92934130410956,40.81070031874918
334,FALL CREEK HE PLANT,Transmission,-122.3604673030273,41.98563984077863
335,FARADAY COLLECTOR,Transmission,-112.09738592744276,40.08043186445527
336,FARMINGTON,Distribution,-111.89124809177288,40.981880002343416
337,FAYETTE,Distribution,-111.8485735262844,39.222744396869686
338,FERN HILL,Distribution,-123.75722584631554,46.17474786951831
339,FERRON,Distribution,-111.13128232300105,39.07326482501555
340,FIELDER CREEK,Distribution,-123.17355588486502,42.44736146342387
341,FIELDING,Distribution,-112.12664694792346,41.828784418782746
342,FIFTH WEST,Distribution,-111.90468311370248,40.7658537792392
343,FILLMORE SY,Transmission,-112.31092939526322,38.95365219749884
344,FILLMORE TV,Distribution,-112.3450852324208,39.0338714943826
345,FIREHOLE,Trans and Distrib,-109.27272192871918,41.536780773580766
346,FISH CREEK,Transmission,-111.87312361792178,42.71438507392607
347,FISH CREEK HE PLANT,Transmission,-122.44903610647528,43.27425838189151
348,FISHHOLE,Transmission,-121.01320068842776,42.38721498487089
349,FLINT,Distribution,-120.32404032528464,46.434508563795454
350,FLUX,Distribution,-112.54671604424044,40.671682297365685
351,FOOL CREEK,Distribution,-112.26853504934614,39.48102846498034
352,FOOTE CREEK,Transmission,-106.19016552233708,41.65222986472314
353,FOOTHILLS,Distribution,-122.82234072369792,42.32413823351494
354,FORT CASPER,Distribution,-106.3589174899048,42.83782099165412
355,FORT DOUGLAS,Distribution,-111.82958693925517,40.75204407520583
356,FORT JOHNSON (FUTURE),Transmission,-113.05081169541631,37.80180900533804
358,FORT KLAMATH STEP UP,Transmission,-121.88615177549715,42.59408939657296
359,FORT SANDERS,Distribution,-105.60991474918224,41.270331511711056
360,FOSTER SY,Transmission,-122.67152704156226,44.41225653067757
361,FOUNTAIN GREEN,Distribution,-111.65020568752912,39.63760631346857
362,FRALEY,Distribution,-122.88076205453277,42.4657256893487
363,FRANKLIN,Transmission,-111.82154493426911,42.08869754800822
364,FRANNIE,Distribution,-108.67317865804488,44.95778644207918
365,FREEDOM,Distribution,-112.2295959752531,38.49076863008912
366,FREEZEOUT,Transmission,-106.39457506587569,41.96000056184707
367,FREMONT (FUTURE),Transmission,-112.7802021329279,37.97944828509473
368,FRIEND,Transmission,-120.88507443489964,44.29933366090686
369,FRONTIER,Distribution,-106.3565916097004,42.85250996052096
