substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Mountain Pass,1790.0,Kramer 220/115 System,0.0,0.0,0.0,6.26,0.0,9.37,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Mountwind,64.0,Devers 220/115 System,0.0,0.0,0.0,89.0,0.0,89.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Mt. Pass,,,,,,,,,12.0,1.0,4.0,32.0,0.0,0.0,64.0,1.0,8.0,0.0,0.0,16.0,
Mt. Pass 'A',,,,,,,,,33.0,1.0,5.0,12.5,0.0,0.0,82.5,2.0,5.0,0.0,0.0,33.0,
Mt. Vernon 'A',,,,,,,,,4.0,3.0,83.0702,5.614,0.0,0.0,11.3158,947.0,64.0,0.0,0.0,129.0,
Mt. Vernon 'B',,,,,,,,,4.0,3.0,79.0123,5.8201,0.0,0.0,15.1675,896.0,66.0,0.0,0.0,172.0,
Mwd,234.0,Mwd 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd Coyote Creek,26.0,Olinda 220/66 System,0.0,0.0,0.0,0.0,0.0,3.75,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd Etiwanda,93.0,Etiwanda 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd Lake Mathews 4,45.0,Mira Loma 220/66 System,0.0,0.0,0.0,4.19,0.0,4.3,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd Perris,49.0,Valley 'Ab' 500/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Mwd Rio Hondo 4,51.0,Center 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd San Dimas 4,40.0,Padua 220/66 System,0.0,0.0,0.0,0.24,0.0,9.9,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd Temescal,,,,,,,,,33.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Mwd Temescal 4,53.0,Mira Loma 220/66 System,0.0,0.0,0.0,0.0,0.0,2.8,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd Venice,50.0,La Cienega 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Mwd Yorba Linda,29.0,Villa Park 220/66 System,0.0,0.0,0.0,5.0,0.0,5.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Natural,1953.0,Saugus 220/66 System,0.0,0.0,0.0,39.2,0.0,56.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
