name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path
US Wind Power,PG&E,pge,SUBSTATION,304473.0,230.0,37.79142631116007,-121.72777392662525,Contra Costa County,Unincorporated,94514,CEC,
Ultra Power,PG&E,pge,SUBSTATION,308230.0,60.0,40.877934364674815,-123.99463325830364,Humboldt County,Blue Lake,95521,CEC,
Unocal,PG&E,pge,SUBSTATION,308410.0,,38.05340781048908,-122.2345321861037,Contra Costa County,Unincorporated,94525,CEC,
Urich,PG&E,pge,SUBSTATION,308825.0,60.0,38.02895500449173,-122.10310098878207,Contra Costa County,Martinez,94553,CEC,
Vallecitos,PG&E,pge,SUBSTATION,300606.0,,37.60924398719841,-121.84267101730838,Alameda County,Unincorporated,94586,CEC,
Valley Springs,PG&E,pge,SUBSTATION,303253.0,,38.21658505767753,-120.76401047642304,Calaveras County,Unincorporated,95252,CEC,
Valpredo,PG&E,pge,SUBSTATION,309576.0,70.0,35.06401415861526,-119.06182678719854,Kern County,Unincorporated,93313,CEC,
Wasco Prison,PG&E,pge,SUBSTATION,307829.0,115.0,35.6009110506618,-119.4030330094133,Kern County,Wasco,93280,CEC,
Waukena,PG&E,pge,SUBSTATION,309872.0,115.0,36.13838950645197,-119.57721400910224,Kings County,Unincorporated,93230,CEC,
Welport,PG&E,pge,SUBSTATION,302212.0,,35.363481802893084,-119.67550066129364,Kern County,Unincorporated,93251,CEC,
West Ford Flat,PG&E,pge,SUBSTATION,301699.0,230.0,38.78781193979954,-122.72240796958096,Lake County,Unincorporated,95461,CEC,
Westlands,PG&E,pge,SUBSTATION,302217.0,60.0,36.63241753832259,-120.3423122049865,Fresno County,Unincorporated,93668,CEC,
Westside,PG&E,pge,SUBSTATION,302024.0,,37.77683380416322,-121.51762692980812,San Joaquin County,Unincorporated,95304,CEC,
Wind Driven,PG&E,pge,SUBSTATION,301013.0,230.0,37.82124149972409,-121.6609369008515,Contra Costa County,Unincorporated,94514,CEC,
Wintun,PG&E,pge,SUBSTATION,304587.0,60.0,40.5927846816981,-122.36965607440932,Shasta County,Redding,96003,CEC,
Wise,PG&E,pge,SUBSTATION,310078.0,115.0,38.88992635835282,-121.09849583458151,Placer County,Unincorporated,95603,CEC,
Witco,PG&E,pge,SUBSTATION,308807.0,115.0,35.4279569332626,-118.9775055916842,Kern County,Unincorporated,93308,CEC,
Wohler,PG&E,pge,SUBSTATION,302182.0,60.0,38.510539298983645,-122.88107929999504,Sonoma County,Unincorporated,95448,CEC,
Wolfsen Bypass,PG&E,pge,,,115.0,37.09830305123195,-121.0474555478944,Merced County,Unincorporated,95322,CEC,
Woodchuck,PG&E,pge,SUBSTATION,301832.0,,37.00856775260191,-118.98157803897551,Fresno County,Unincorporated,93664,CEC,
Yuba City Station A,PG&E,pge,SUBSTATION,310481.0,60.0,39.13913085687318,-121.63834832423711,Sutter County,Yuba City,95993,CEC,
Yuba City Station B,PG&E,pge,SUBSTATION,307750.0,,39.13843471068189,-121.63850175594216,Sutter County,Yuba City,95993,CEC,
Yuba Gold Fields,PG&E,pge,SUBSTATION,305597.0,60.0,39.20323452757973,-121.41500221303806,Yuba County,Unincorporated,95901,CEC,
Zond Wind,PG&E,pge,SUBSTATION,305011.0,60.0,37.743100065318885,-121.65871992899972,Alameda County,Unincorporated,94550,CEC,
