sap_substation_name,lcr_area,city_served,division,owner,n_city_rows
GUSTINE SUB,Stockton,Gustine,YOSEMITE,PGE,1
GWF HANFORD SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
GWF HANFORD SW STA SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
HAAS PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
HALF MOON BAY SUB,Greater Bay Area,El Granada; Half Moon Bay; Montara; Moss Beach,PENINSULA,PGE,4
HALSEY PH SUB,Sierra,Auburn; Meadow Vista; North Auburn,SIERRA,PGE,3
HAMILTON FIELD SUB,North Coast/North Bay,Novato,NORTH BAY,PGE,1
HAMMONDS SUB,Greater Fresno,Fresno,YOSEMITE,PGE,1
HANFORD SWITCHING STATION SUB,Greater Fresno,Kings County,FRESNO,PGE,1
HARDWICK SUB,Greater Fresno,Hanford; Laton,FRESNO,PGE,2
HARKINS,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
HARRIS SUB,Humboldt,Cutten; Eureka; Myrtletown; Pine Hills,HUMBOLDT,PGE,4
HARTER SUB,Sierra,South Yuba City; Sutter; Tierra Buena; Yuba City,SIERRA,PGE,4
HARTLEY SUB,North Coast/North Bay,Lakeport; North Lakeport,NORTH COAST,PGE,2
HATTON SUB,Greater Bay Area,Carmel Valley,CENTRAL COAST,PGE,1
HAYWARD O SUB,Greater Bay Area,Ashland; Cherryland; Hayward,MISSION,PGE,3
HEINZ SUB,Stockton,Tracy,STOCKTON,nonPGE,1
HELM SUB,Greater Fresno,San Joaquin,FRESNO,PGE,1
HELMS PGP SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
HENRIETTA SUB,Greater Fresno,Lemoore Station,FRESNO,PGE,1
HERNDON SUB,Greater Fresno,Herndon,FRESNO,PGE,1
HICKS SUB,Greater Bay Area,Cambrian Park; Los Gatos; San Jose,SAN JOSE,PGE,3
HIGGINS SUB,Sierra,Alta Sierra; Lake of the Pines,SIERRA,PGE,2
HIGH ST SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
HIGHLANDS SUB,North Coast/North Bay,Clearlake; Hidden Valley Lake; Lower Lake,NORTH COAST,PGE,3
