sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
BOWLES SUB,Greater Fresno,Bowles; Easton,FRESNO,PGE,2,exact,100.0,BOWLES,BOWLES,12.0,36.60577292106775,-119.77351527184116
BRENTWOOD SUB,Greater Bay Area,Bethel Island; Brentwood; Byron; Discovery Bay; Knightsen; Oakley,DIABLO,PGE,6,exact,100.0,BRENTWOOD,BRENTWOOD,21.0,37.91951019657826,-121.6770008771395
BRIDGEVILLE SUB,Humboldt,Bridgeville,HUMBOLDT,PGE,1,exact,100.0,BRIDGEVILLE,BRIDGEVILLE,12.0,40.47973690196123,-123.78042714948089
BRIGATANO SUB,Greater Bay Area,,CENTRAL COAST,nonPGE,1,unmatched,0.0,,,,,
BRIGHTON SUB,Sierra,Sacramento,SACRAMENTO,PGE,1,fuzzy,80.0,BRITTON,BRITTON,12.0,37.37491569242551,-122.01651663969916
BRITTON SUB,Greater Bay Area,Santa Clara; Sunnyvale,DE ANZA,PGE,2,exact,100.0,BRITTON,BRITTON,12.0,37.37491569242551,-122.01651663969916
BROOKSIDE SUB,Greater Bay Area,Richmond; San Pablo,EAST BAY,PGE,2,exact,100.0,BROOKSIDE,BROOKSIDE,4.16,37.96197173061187,-122.34740011271514
BROWNS VALLEY SUB,Sierra,Loma Rica,SIERRA,PGE,1,exact,100.0,BROWNS VALLEY,BROWNS VALLEY,12.0,39.22604998760262,-121.42343570527576
BRUNSWICK SUB,Sierra,Alta Sierra; Grass Valley; Nevada City,SIERRA,PGE,3,exact,100.0,BRUNSWICK,BRUNSWICK,12.0,39.231239532701935,-121.03491018822432
BRYANT SUB,Greater Bay Area,Orinda,DIABLO,PGE,1,unmatched,0.0,,,,,
BUCKS CREEK SUB,Sierra,Belden; Bucks Lake; Caribou; Storrie; Tobin,NORTH VALLEY,PGE,5,exact,100.0,BUCKS CREEK,BUCKS CREEK,12.0,39.91160243296182,-121.32682793665592
BUENA VISTA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,exact,100.0,BUENA VISTA,BUENA VISTA,12.0,36.65393162469321,-121.62925836204246
BULLARD SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,BULLARD,BULLARD,12.0,36.82406405231952,-119.76842651281234
BURLINGAME SUB,Greater Bay Area,Burlingame; Hillsborough,PENINSULA,PGE,2,exact,100.0,BURLINGAME,BURLINGAME,4.16,37.589994031230255,-122.3628212137506
BURNS SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE,1,exact,100.0,BURNS,BURNS,21.0,37.09517776069064,-122.14368831593914
CAL WATER SUB,Kern,Bakersfield,KERN,nonPGE,1,exact,100.0,CAL WATER,CAL WATER,12.0,35.42222837471225,-118.90059842079376
